owner_acronym,sum_effective_value
pspc,74946627.39
dnd,68195559.15
ssc,50358510.08
esdc,47092475.28
ic,6463693.40
gac,6453369.61
hc,6045731.81
phac,4220532.19
rcmp,3528719.38
tbs,2512821.03
inac,2361585.41
nrc,1662650.03
cbsa,1649438.60
agr,1310358.75
tc,1048927.76
dfo,986231.38
infra,796251.59
csc,702858.00
elections,650653.41
cra,650257.85
cfia,476814.09
stats,472905.00
vac,456026.34
nrcan,299581.89
oag,291433.03
ced,250898.01
ircc,242498.00
ps,210660.25
pch,204655.50
fin,172456.75
ec,152040.00
psc,150904.47
cnsc,143175.86
pco,122040.00
cc,116578.00
pc,57379.53
ppsc,51292.96
osfi,47036.26
psic,24973.00
lac,24860.00
csa,21000.00
