owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,4,3,1
agr,2015,2,2,0
agr,2016,3,2,1
agr,2017,1,0,1
atssc,2017,1,1,0
cbsa,2015,2,2,0
cbsa,2016,1,0,1
cbsa,2017,3,2,1
cc,2011,1,1,0
ced,2010,2,2,0
ced,2011,1,0,1
cfia,2012,2,2,0
cfia,2013,2,1,1
cfia,2014,2,0,2
cfia,2015,3,2,1
cfia,2016,4,2,2
cnsc,2010,2,2,0
cnsc,2013,1,1,0
cnsc,2016,1,1,0
cnsc,2017,1,0,1
cra,2009,2,1,1
cra,2012,2,1,1
cra,2017,2,2,0
crtc,2017,1,1,0
csa,2012,1,1,0
csc,2012,1,1,0
csc,2014,1,1,0
dfo,2011,5,3,2
dfo,2012,8,8,0
dfo,2013,8,2,6
dfo,2014,2,0,2
dfo,2015,1,0,1
dfo,2016,1,1,0
dnd,2008,1,1,0
dnd,2009,1,1,0
dnd,2010,2,2,0
dnd,2011,4,1,3
dnd,2012,3,1,2
dnd,2013,5,3,2
dnd,2014,10,9,1
dnd,2015,12,10,2
dnd,2016,10,6,4
dnd,2017,9,3,6
ec,2009,1,1,0
ec,2010,1,1,0
ec,2017,1,1,0
esdc,2009,1,1,0
esdc,2010,4,4,0
esdc,2011,3,3,0
esdc,2012,21,21,0
esdc,2013,46,46,0
esdc,2014,29,29,0
esdc,2015,77,77,0
esdc,2016,119,84,35
esdc,2017,147,47,100
fin,2008,2,2,0
fin,2011,1,1,0
gac,2008,1,1,0
gac,2009,1,1,0
gac,2010,1,1,0
gac,2011,2,2,0
gac,2012,3,2,1
gac,2013,13,11,2
gac,2014,3,3,0
gac,2015,9,8,1
gac,2016,24,20,4
gac,2017,24,16,8
hc,2012,1,1,0
hc,2013,1,0,1
hc,2014,4,3,1
hc,2015,1,0,1
hc,2016,5,3,2
hc,2017,3,1,2
ic,2008,8,8,0
ic,2009,5,5,0
ic,2010,4,3,1
ic,2011,3,1,2
ic,2012,3,3,0
ic,2013,2,2,0
ic,2014,13,12,1
ic,2015,6,2,4
ic,2016,8,5,3
ic,2017,9,3,6
inac,2014,5,5,0
inac,2015,3,2,1
inac,2016,2,2,0
inac,2017,4,2,2
infra,2014,2,2,0
infra,2015,1,1,0
infra,2016,1,0,1
ircc,2014,1,1,0
ircc,2015,2,2,0
ircc,2016,2,1,1
isc,2017,1,1,0
lac,2013,1,1,0
nrc,2011,3,3,0
nrc,2012,7,4,3
nrc,2013,2,1,1
nrc,2014,1,0,1
nrc,2015,5,4,1
nrc,2016,6,4,2
nrc,2017,5,4,1
nrcan,2011,2,2,0
nrcan,2012,1,1,0
nrcan,2013,1,1,0
nrcan,2014,4,3,1
nrcan,2015,2,0,2
nrcan,2016,2,2,0
nrcan,2017,2,1,1
oag,2016,5,5,0
oag,2017,10,9,1
osfi,2017,2,2,0
pc,2014,1,1,0
pc,2015,1,1,0
pch,2008,3,3,0
pch,2009,1,0,1
pch,2016,1,1,0
pch,2017,1,0,1
pco,2014,1,1,0
pco,2017,2,2,0
phac,2012,1,1,0
phac,2013,1,0,1
phac,2014,4,3,1
phac,2015,1,0,1
phac,2016,3,2,1
phac,2017,1,1,0
ppsc,2011,1,1,0
ppsc,2012,1,0,1
ps,2015,2,2,0
ps,2016,1,1,0
psc,2014,1,1,0
psc,2017,1,0,1
psic,2016,1,1,0
pspc,2008,11,11,0
pspc,2009,20,19,1
pspc,2010,23,18,5
pspc,2011,16,11,5
pspc,2012,10,7,3
pspc,2013,6,1,5
pspc,2014,4,1,3
pspc,2015,2,2,0
pspc,2016,2,1,1
pspc,2017,7,6,1
rcmp,2009,2,2,0
rcmp,2010,2,2,0
rcmp,2011,3,3,0
rcmp,2012,2,0,2
rcmp,2013,3,1,2
rcmp,2014,2,1,1
rcmp,2015,1,0,1
rcmp,2016,1,1,0
rcmp,2017,2,0,2
ssc,2012,10,4,6
ssc,2013,1,1,0
ssc,2014,2,2,0
ssc,2015,8,8,0
ssc,2016,21,10,11
ssc,2017,23,9,14
stats,2013,2,2,0
stats,2017,1,1,0
tbs,2008,4,4,0
tbs,2009,2,2,0
tbs,2010,1,0,1
tbs,2012,2,2,0
tbs,2013,1,0,1
tbs,2014,1,1,0
tbs,2015,3,3,0
tbs,2016,4,4,0
tc,2011,5,4,1
tc,2012,5,4,1
tc,2013,2,2,0
tc,2014,4,3,1
vac,2014,1,1,0
