vendor_normalized,effective_year,sum_yearly_value
ADWARE PROMOTION,2016,67325.4
ADWARE PROMOTION,2017,67325.4
IDS SYSTEMS CONSULTANTS,2015,98875
IDS SYSTEMS CONSULTANTS,2016,98875
IDS SYSTEMS CONSULTANTS,2017,268375
NEW PRINTING,2015,45889.866666667
NEW PRINTING,2016,45889.866666667
NEW PRINTING,2017,22661.866666667
ONX ENTERPRISE SOLUTIONS,2017,95640.31
OPENCONCEPT CONSULTING,2016,93550.816666667
OPENCONCEPT CONSULTING,2017,115434.68166667
PROJECT X PRODUCTIONS,2017,239557.47
ROGERS,2013,18470.363333333
ROGERS,2014,18470.363333333
ROGERS,2015,18470.363333333
ROGERS,2016,18470.363333333
ROGERS,2017,18470.363333333
SHARP ELECTRONICS,2014,2413.93
SHARP ELECTRONICS,2015,42201.213
SHARP ELECTRONICS,2016,46763.3055
SHARP ELECTRONICS,2017,46763.3055
SI SYSTEMS,2015,131532
SI SYSTEMS,2016,131532
SI SYSTEMS,2017,131532
VMWARE,2017,5276602.95
