gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
417 BUS LINE,2016,1,1,0
417 BUS LINE,2017,3,0,3
ADVANCED CHIPPEWA TECHNOLOGIES,2016,1,1,0
ADVANCED CHIPPEWA TECHNOLOGIES,2017,2,2,0
ADWARE PROMOTION,2016,1,1,0
ADWARE PROMOTION,2017,1,1,0
APPTION,2016,1,1,0
APPTION,2017,1,1,0
CTM MEDIA GROUP,2016,1,1,0
CTM MEDIA GROUP,2017,2,1,1
HEWLETT PACKARD,2016,1,1,0
HEWLETT PACKARD,2017,1,0,1
IDS SYSTEMS CONSULTANTS,2017,3,2,1
LORD ELGIN HOTEL,2016,1,1,0
LORD ELGIN HOTEL,2017,4,1,3
SHARP ELECTRONICS,2017,3,3,0
SOCIETE DES CASINO DU QUEBEC RESTO CASINO HILTON OPERATING AS HILTON LAC LEAMY,2017,3,1,2
