owner_acronym,sum_effective_value
ssc,1768036835.64957
cra,259312792.227554
pspc,240807006.256019
dnd,105967469.700555
rcmp,80733566.2608336
esdc,73933775.97
cbsa,65507896.4049999
agr,56118809.4799998
elections,32373227.4739445
tbs,21256894.3316666
ic,18018339.085
gac,14351553.57
phac,12116898.7433333
stats,11701646.5116667
ircc,10722988.01
hc,9066705.08
dfo,8874806.30666668
pc,5212588.94449998
cnsc,4688350.94
inac,4543545.34
csps,3826170.87
csc,2789598.7
pptc,2484620.53000001
cfia,2425238.59
vac,1945623.43
ec,1738222.22
ps,1069182.825
nrcan,1022019.115
pch,901136.055
tc,873490
infra,828058.68
osfi,428729.72
fintrac,359311.85
psc,341113.305
nrc,328754.82
fin,310853.74
just,281396.53
pco,101085.05
ced,81350.75
lac,57252.23
atssc,51509.871111111
cas,32522
cihr,32430.75
ppsc,18618.12
csa,17347.43
nfb,16734.485
crtc,13031.725
nserc,8411
ccohs,8011.795
cpc,7990.515
