owner_acronym,total_entries,total_contracts,total_amendments
ssc,341,225,116
agr,332,162,170
cra,272,108,164
rcmp,207,168,39
pspc,180,137,43
esdc,177,176,1
dnd,161,104,57
ic,96,69,27
gac,77,67,10
hc,69,59,10
phac,69,58,11
stats,67,66,1
dfo,64,53,11
ec,58,58,0
cbsa,46,27,19
ircc,42,31,11
tbs,38,30,8
cnsc,35,34,1
cfia,27,26,1
vac,20,18,2
pc,19,14,5
ps,18,18,0
inac,16,15,1
pch,14,10,4
csps,14,5,9
csc,14,12,2
psc,13,12,1
just,12,12,0
pptc,10,5,5
nrc,10,10,0
infra,9,9,0
nrcan,9,4,5
elections,7,5,2
osfi,6,4,2
fintrac,6,6,0
atssc,4,1,3
lac,3,3,0
cihr,3,2,1
ced,3,3,0
pco,3,3,0
fin,2,2,0
tc,2,1,1
nfb,2,2,0
cpc,1,1,0
crtc,1,1,0
ppsc,1,1,0
csa,1,1,0
nserc,1,1,0
ccohs,1,1,0
cannor,1,1,0
