owner_acronym,sum_effective_value
pspc,56156632.89
ssc,32228204.32
gac,23161334.72
dnd,21174463.06
neb,19916552.46
ircc,17608904.70
esdc,16585537.31
rcmp,10517946.55
pch,9564060.46
agr,9472582.17
ec,7369914.79
tc,6900052.75
nrcan,6855185.06
dfo,5461664.94
phac,2748932.71
just,2671246.87
ic,2125815.17
cbsa,1851688.61
cnsc,1513686.19
pptc,1334634.19
cfia,1092707.30
fin,1043023.13
csps,843692.07
hc,805997.40
tbs,786768.80
psc,642545.20
ps,623387.73
pc,575211.24
inac,552376.65
cihr,528048.67
stats,374979.20
nrc,356933.98
cra,322908.32
pco,245689.13
lac,138688.59
fintrac,79891.00
cc,72254.01
acoa,45069.28
csa,37688.90
psic,15565.75
