vendor_normalized,effective_year,sum_yearly_value
AIR CANADA,2017,18147.8
ALTIS HUMAN RESOURCES,2017,23431.28
DELL COMPUTER,2017,74003.5008333333
MICROSOFT CANADA,2017,59236.885
PARE BENOIT,2017,19162.5
QUANTUM MANAGEMENT SERVICES,2017,58611.63
SAMSON ASSOCIATES,2017,75883.5
TOSHIBA,2017,17649.24
TURTLE ISLAND STAFFING,2016,22793.25
TURTLE ISLAND STAFFING,2017,22793.25
VERSACOM,2017,96717.66
