gen_vendor_normalized,total_entries,total_contracts,total_amendments
MCCARTHY TETRAULT LLP,1,1,0
SKYRIDGE SYSTEMS,1,1,0
TAG HR THE ASSOCIATES GROUP,1,1,0
THOMAS REUTERS CANADA,1,1,0
