owner_acronym,sum_effective_value
esdc,31365364.82
pspc,21378887.31
tbs,17709330.61
phac,9896608.26
ec,9027509.68
ircc,7642842.12
rcmp,5742992.93
agr,5509286.65
gac,4935971.05
tc,3678721.94
dnd,2979293.50
pc,2851175.79
ic,2735983.00
cbsa,2551936.50
dfo,1518452.50
hc,1308752.63
pptc,772663.11
vac,636212.50
pch,575384.50
csc,562756.00
just,557768.50
psc,424260.00
osfi,322012.00
fin,260416.29
inac,258348.83
csa,247695.00
ps,186450.02
ced,146837.25
nrcan,105599.25
ssc,90318.64
pco,87161.60
cnsc,51415.00
oag,24577.51
stats,24182.00
