owner_acronym,total_entries,total_contracts,total_amendments
agr,111,70,41
esdc,107,89,18
pspc,65,27,38
hc,56,29,27
phac,52,27,25
just,29,15,14
gac,27,14,13
nrc,27,14,13
ec,19,12,7
tbs,17,9,8
rcmp,17,6,11
ircc,13,9,4
ic,9,9,0
pptc,6,5,1
pch,5,4,1
cnsc,2,1,1
nserc,1,1,0
