owner_acronym,sum_effective_value
ssc,165710322.03
stats,26509365.20
dnd,20162938.80
pspc,12335939.93
ec,12052043.01
rcmp,9367472.36
cra,6032935.24
tbs,4998870.75
ic,4925420.51
ps,3356465.82
esdc,3206782.46
phac,2753688.16
dfo,2141884.00
hc,2013163.24
ircc,1882085.90
csc,1693200.32
tc,1129644.26
cnsc,1087242.11
nrc,832954.00
elections,749929.22
fin,735671.45
fintrac,669318.22
vac,423423.03
psc,340506.00
just,336692.32
osfi,291385.88
cfia,257181.74
pch,248151.53
gac,231690.04
nrcan,187713.56
csa,179679.10
pco,160853.12
pptc,103356.34
atssc,95116.59
crtc,56905.04
cihr,34084.00
