owner_acronym,total_entries,total_contracts,total_amendments
dnd,748,474,274
dfo,122,77,45
ec,16,12,4
ssc,9,3,6
cra,6,3,3
pspc,4,3,1
tc,3,2,1
ircc,3,2,1
just,3,1,2
vac,2,2,0
cfia,2,1,1
stats,1,1,0
cnsc,1,1,0
nrcan,1,1,0
