owner_acronym,sum_effective_value
ssc,73691212.52
dnd,46672463.33
cra,13597423.50
nrcan,4857383.13
ps,3151607.81
cnsc,2873695.09
tbs,2660541.26
pspc,1992785.34
ec,1653587.11
rcmp,1543620.14
esdc,1235322.36
pch,1136373.01
csa,1103210.55
fin,1079667.92
gac,889187.89
pco,681830.74
dfo,630185.18
ic,617940.13
cbsa,562134.57
stats,466249.67
hc,452975.33
tc,443432.73
psc,441912.00
nrc,406493.00
fja,267686.89
ircc,260698.62
phac,213554.16
osfi,201882.87
cihr,186040.11
csps,179335.43
pc,157549.52
lac,94237.00
ceaa,93673.99
atssc,60712.49
mgerc,42214.95
pptc,24696.00
csc,21210.00
oag,11298.87
fintrac,10352.56
