owner_acronym,total_entries,total_contracts,total_amendments
dnd,483,474,9
ssc,277,229,48
pspc,61,61,0
ec,57,57,0
nrcan,56,55,1
ps,54,53,1
gac,50,46,4
cra,50,38,12
cnsc,32,32,0
ic,30,30,0
pch,30,29,1
tbs,27,26,1
rcmp,23,20,3
dfo,19,19,0
nrc,17,17,0
fja,16,16,0
ircc,13,10,3
stats,12,12,0
tc,11,11,0
cbsa,11,11,0
csa,7,7,0
esdc,7,7,0
psc,6,6,0
csps,6,6,0
pco,6,6,0
osfi,6,6,0
phac,6,6,0
cihr,6,6,0
hc,5,5,0
ceaa,5,5,0
atssc,5,5,0
fin,4,4,0
lac,4,4,0
oag,3,3,0
mgerc,3,3,0
agr,3,3,0
ocl,3,3,0
oic,2,2,0
pc,2,2,0
inac,1,1,0
fintrac,1,1,0
just,1,1,0
nserc,1,1,0
cas,1,1,0
csc,1,1,0
cfia,1,1,0
pptc,1,1,0
