owner_acronym,sum_effective_value
rcmp,39612256.80
ircc,33589695.26
pspc,8858808.76
esdc,7469712.95
dnd,5312654.25
cra,2751915.58
stats,2256481.00
cihr,1614873.49
agr,1593546.09
inac,1346909.22
cbsa,874471.33
nrcan,793816.10
cfia,489905.67
ic,447050.00
csc,391504.00
tbs,352228.64
elections,286839.63
cnsc,154640.50
dfo,127174.84
tc,68228.94
ps,64416.81
ssc,63524.08
ec,60000.00
fin,48721.08
pptc,47954.49
pch,23625.00
gac,10494.75
