owner_acronym,effective_year,sum_yearly_value
agr,2012,326617.06
agr,2013,739830.09
agr,2014,1190898.43
agr,2015,1047716.95
agr,2016,570707.18
agr,2017,406626.11
csa,2015,22995.00
csc,2014,1546816.00
csc,2015,1524307.00
csc,2016,734144.91
csc,2017,664142.44
dfo,2010,6454414.14
dfo,2011,11061249.23
dfo,2012,8742776.96
dfo,2013,5513130.80
dfo,2014,4220034.37
dfo,2015,4226637.24
dfo,2016,33803.47
dfo,2017,24437.00
dnd,2008,281436.80
dnd,2009,28164742.95
dnd,2010,27090073.46
dnd,2011,232864041.82
dnd,2012,59144882.63
dnd,2013,56136257.75
dnd,2014,60381160.93
dnd,2015,57398958.97
dnd,2016,32247381.01
dnd,2017,14623277.78
ec,2009,28640.98
ec,2010,5600.00
ec,2011,7139.21
ec,2013,15190.50
ec,2014,15190.50
ec,2016,13200.00
ec,2017,13200.00
hc,2011,161985.50
hc,2012,144659.90
hc,2013,29786.80
hc,2014,433186.56
hc,2015,424639.25
hc,2016,261568.05
hc,2017,327407.93
isc,2017,9503.53
nrc,2011,62478.50
nrc,2012,62478.50
nrc,2013,16519.00
nrc,2014,84922.00
nrc,2015,10509.00
pc,2008,637058.50
pc,2009,93115.56
pc,2010,85470.00
pc,2011,216436.44
pc,2012,503500.11
pc,2013,824497.65
pc,2014,769115.19
pc,2015,377868.50
pc,2016,399273.56
pc,2017,516327.90
phac,2011,96756.25
phac,2012,348853.57
phac,2013,149499.00
phac,2014,163544.90
phac,2015,471575.48
phac,2016,449320.03
pspc,2008,510510.00
pspc,2011,52033.18
pspc,2012,129127.33
pspc,2013,1509332.41
pspc,2014,277198.50
pspc,2015,568582.52
pspc,2016,995175.00
pspc,2017,1198575.00
rcmp,2008,441717.33
rcmp,2009,315072.21
rcmp,2010,216397.76
rcmp,2011,99163.74
rcmp,2012,209433.34
rcmp,2013,346094.15
rcmp,2014,2029791.93
rcmp,2015,2632291.34
rcmp,2016,2702109.28
rcmp,2017,861135.72
tc,2010,72026.20
tc,2011,377926.20
tc,2012,121726.20
tc,2013,595692.80
tc,2014,932653.04
tc,2015,1344280.88
tc,2016,706174.35
tc,2017,1678909.70
vac,2013,132221.25
vac,2014,105777.00
vac,2015,35711.24
