gen_vendor_normalized,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,122,52,70
KEITH BAGG STAFFING RESOURCES,77,40,37
BAGG TECHNOLOGY RESOURCES,56,23,33
MASHA KRUPP TRANSLATION GROUP,50,23,27
POI BUSINESS INTERIORS,34,20,14
STEELCASE CANADA,28,18,10
DELOITTE AND TOUCHE,20,13,7
CANON,17,8,9
TELECOM COMPUTER SERVICES,12,6,6
CANADIAN CORPS OF COMMISSIONAIRES,12,6,6
BELL CANADA,12,5,7
SOFTCHOICE,12,6,6
A??COLE DE LANGUES LA CITA??,12,9,3
PUBLIC WORKS AND GOVERNMENT,12,9,3
CANADIAN PRESS ENTERPRISES,11,6,5
ECOLE DE LANGUES LA CITE,11,9,2
LANGUAGE STUDIO THE,10,4,6
ERNST & YOUNG,9,7,2
ACTIVO,9,6,3
PAUL A BARNETT & ASSOCIATES,9,6,3
GOSS GILROY,8,6,2
POSTMEDIA NETWORK,8,4,4
GLOBAL ADVANTAGE CONSULTING GROUP,8,5,3
DYNAMIC PERSONNEL CONSULTANTS,8,3,5
EQUIFAX CANADA CO,8,7,1
TOSI PLACEMENT SERVICES,7,6,1
MANPOWER SERVICES CANADA,7,4,3
THE AIM GROUP,7,2,5
SERVICES LINGUISTIQUES MORIN,7,3,4
MEDIA Q,7,4,3
FORD MOTOR COMPAMY,6,4,2
HICKLING ARTHURS LOW CORPORATION,6,4,2
ADECCO SERVICES DE RESOURCES,6,3,3
NISHA TECHONOLOGIES,6,4,2
EXCEL HUMAN RESOURCES,6,2,4
CORPORATE TELECOM SERVICES,6,3,3
CONFERENCE BOARD OF CANADA THE,6,5,1
RED TREE PRODUCTIONS,6,4,2
QMR,5,4,1
FRISCHKORN AUDIO-VISUAL CORP,5,3,2
SYLVIE MERCIER,5,3,2
SLOFAC,5,2,3
SHRED-IT,5,2,3
NORTHERN MICRO,5,3,2
TOYOTA CANADA,5,3,2
ENDLESS FILMS,5,4,1
EQUIFAX CANADA,5,5,0
ERNEST STOKES TOM MCCORMACK,5,3,2
EVISION SOFTSIM TECHNOLOGIES,5,2,3
HACKETT CONSULTING,5,3,2
GLOBAL UPHOLSTERY COMPANY,4,2,2
FERENCE WEICKER & COMPANY,4,4,0
INFO-TECH RESEARCH GROUP,4,4,0
SCIENCE-METRIX,4,2,2
ADECCO EMPLOYMENT SERVICES,4,1,3
ARTEMP PERSONNEL SERVICES,4,2,2
FMC PROFESSIONALS,4,2,2
XEROX,4,2,2
INFOLASER CANADA,4,2,2
DELL COMPUTER CORPORATION,4,2,2
LUMINA IT,4,2,2
COPEM CONSULTING,4,3,1
COLLINS ENGINEERING GROUP,4,1,3
CDW CANADA,4,2,2
SPACESAVER MOBILE STORAGE SYSTEMS,3,2,1
2946271 CANADA,3,2,1
A NET SOLUTIONS,3,1,2
CISION CANADA,3,2,1
ECOLE DE LANGUES ABCE,3,3,0
EPIXUS,3,3,0
GLOBAL UPHOLSTERY CO,3,2,1
HONEY DESIGN MARKETING,3,1,2
IAN MARTIN,3,2,1
INTERNATIONAL DATA CORPORATION,3,3,0
IRENE MEEK,3,1,2
J & A CREATIVE SERVICES,3,2,1
MARKETWIRE,3,2,1
MARKETWIRE CANADA,3,1,2
SAMSON & ASSOCIATES CONSULTING,3,2,1
SAMSON & ASSOCIES,3,2,1
TIMOTHY R FRASER,3,2,1
WESTBAY RESEARCH,3,2,1
ALKAMO,2,1,1
IMPACT GROUP THE,2,2,0
ENSEIGNES PATTISON SIGN GROUP,2,1,1
TOTEM OFFISOURCE,2,2,0
JPOM,2,1,1
KELLY SERVICES CANADA,2,1,1
KOMUTEL,2,1,1
KUMPFORT ZONE WAREHOUSING,2,1,1
DENMAR DISPLAYS & EXHIBITS CORP,2,1,1
LONDON LIFE INSURANCE COMPANY,2,1,1
LYRECO CANADA,2,1,1
MARY HELEN KAIZER,2,1,1
MAXSYS STAFFING & CONSULTING,2,1,1
CANWEST INTERACTIVE,2,1,1
CANADIAN PRESS THE,2,1,1
CANADIAN ATLAS FURNITURE,2,1,1
CAISSEN WATER TECHNOLOGIES,2,1,1
BULLDOG FIRE & SECURITY,2,1,1
