source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2009,60,37,2,21,649512.08,50691.00,2243090.00
2010,135,91,4,40,1447936.74,99833.00,2895299.28
2011,77,37,7,33,594656.73,172652.20,1789555.50
2012,77,29,12,36,443689.05,301671.40,1809104.96
2013,42,22,1,19,336348.50,25922.20,1358378.85
2014,51,22,7,22,332327.40,173513.75,3228418.39
2015,39,24,4,11,353351.27,100347.00,667594.99
2016,32,20,1,11,328624.69,25000.00,588946.94
2017,28,17,3,8,225554.59,75054.60,488405.27
