owner_acronym,sum_effective_value
pspc,2050551469.66341
ssc,1813043535.53231
esdc,188661433.670108
dnd,153603378.753667
cra,141627357.590913
rcmp,85298027.2883856
gac,47127812.515
ic,14856100.8708331
nrc,8217720.02
stats,7327169.965
ec,5184596.0825
feddev,4060319.97833337
dfo,3736519.52
ircc,3497940.13500001
tbs,3329537.525
ps,3099405.51
fin,2746707.43
psc,2672648
pco,2623351.146
agr,1866930.11
neb,1755140.1
phac,1719791.39000002
tc,1703968.26
cbsa,1639534.93
vac,1503871.87
cnsc,1490794.9
pch,1203534.60833333
hc,1104287.26000001
nrcan,1040887.7
pptc,643963.72666667
cc,578891.01999999
just,518300.142
ced,515598.68
acoa,447783.5
pc,365946.696666667
fja,235200
nfb,201280
pbc,195606.37
fintrac,107208.03
infra,98668.24
chrc,92208
cihr,89273
csa,82816.65
cfia,75931
csc,66918.6
psic,26062.32
elections,22173.92
ppsc,19388.49
ceaa,16645
fcac,10941.7933333332
ocl,10465.81
