source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,63,31,4,28,535850.69,99096.00,3002870.55
2009,65,36,10,19,577146.10,248159.29,1393067.93
2010,75,39,8,28,605505.97,198805.42,1440801.06
2011,90,52,6,32,798948.02,150163.80,2701455.64
2012,70,38,6,26,606955.35,148167.44,2349690.81
2013,24,9,3,12,146462.93,73382.29,841897.18
2014,18,9,1,8,139008.21,25000.00,1279708.84
2015,17,11,0,6,162413.86,0.00,591499.61
2016,30,15,2,13,236629.26,49708.70,921820.02
2017,35,20,0,15,318796.99,0.00,1489776.96
