owner_acronym,sum_effective_value
ssc,23145829.08
phac,7171660.72
pco,5200301.77
ircc,5171342.65
esdc,5034434.69
inac,3178543.12
tc,2663258.13
pspc,2366050.22
hc,2319212.00
cra,1893451.32
ps,1644194.45
cbsa,1565617.04
gac,1497646.02
ec,973769.27
pptc,893745.56
dnd,687182.15
csps,677851.97
elections,503961.30
fin,423691.24
pch,380725.80
cnsc,352452.65
nserc,333293.50
psc,233040.16
ic,219324.00
cta,159713.68
dfo,137025.00
pc,131266.01
just,84614.40
cfia,52500.00
atssc,26031.30
infra,24153.75
csa,18351.20
lac,11746.35
