owner_acronym,total_entries,total_contracts,total_amendments
pspc,46,35,11
ic,40,38,2
nrcan,26,25,1
stats,24,24,0
dnd,23,21,2
ircc,15,11,4
csa,15,15,0
rcmp,14,11,3
gac,12,11,1
ssc,10,8,2
dfo,10,10,0
pch,9,8,1
inac,8,8,0
esdc,7,6,1
fja,7,7,0
cra,6,4,2
ec,6,3,3
tc,6,5,1
hc,5,4,1
cnsc,5,5,0
just,5,5,0
cfia,4,4,0
phac,4,4,0
pco,3,3,0
ced,3,3,0
csc,3,3,0
nrc,3,3,0
ps,3,3,0
acoa,2,2,0
ceaa,2,2,0
tbs,2,2,0
agr,2,2,0
oag,2,2,0
ocol,1,1,0
feddev,1,1,0
cihr,1,1,0
fin,1,1,0
nserc,1,1,0
fintrac,1,1,0
ppsc,1,1,0
vac,1,1,0
