owner_acronym,effective_year,sum_yearly_value
acoa,2017,18285.00
ceaa,2013,5500.00
ceaa,2014,5500.00
ceaa,2017,53392.50
ced,2010,20750.00
ced,2011,74345.00
ced,2012,7079.54
ced,2013,7079.54
cfia,2014,14304.67
cfia,2017,26418.84
cnsc,2014,12486.50
cnsc,2015,24973.00
cnsc,2016,24973.00
cnsc,2017,12486.50
cra,2009,10149.20
cra,2010,10149.20
cra,2014,22035.00
cra,2016,81341.13
cra,2017,86380.83
csa,2008,12000.00
csa,2009,17249.05
csa,2010,16567.66
csa,2011,16674.87
csa,2012,44105.43
csa,2013,28083.49
csa,2014,43639.96
csa,2017,8006.80
csc,2014,10170.00
csc,2016,9458.70
csc,2017,9458.70
dfo,2010,35742.95
dfo,2011,21427.82
dfo,2012,67829.91
dfo,2013,53899.06
dfo,2014,16745.99
dfo,2015,16745.99
dnd,2009,56832.00
dnd,2010,44661.00
dnd,2011,155416.50
dnd,2012,155416.50
dnd,2013,71889.85
dnd,2014,119441.95
dnd,2015,65928.11
dnd,2016,18376.00
dnd,2017,238238.83
ec,2009,246644.11
ec,2010,175241.11
ec,2013,1740853.00
esdc,2010,73158.75
esdc,2014,261807.44
esdc,2015,261807.44
esdc,2017,183602.69
feddev,2013,31640.00
fin,2009,46200.00
fintrac,2009,72750.00
fja,2008,15369.21
fja,2011,8228.53
fja,2012,16457.05
fja,2013,16457.05
fja,2014,16457.05
fja,2015,8228.53
gac,2008,42614.05
gac,2009,42614.05
gac,2010,45349.82
gac,2011,43935.20
gac,2012,23649.44
gac,2013,264169.94
gac,2014,192856.30
gac,2016,24659.23
gac,2017,39466.17
hc,2011,12836.64
hc,2012,12836.64
hc,2017,28250.00
ic,2012,121202.00
ic,2013,837455.00
ic,2014,134470.00
ic,2015,41213.00
ic,2016,53485.00
ic,2017,123283.90
inac,2014,12486.24
inac,2015,262537.71
inac,2017,46685.35
ircc,2011,10170.00
ircc,2012,5683.56
ircc,2013,144450.92
ircc,2014,253265.93
ircc,2015,287313.57
ircc,2016,13698.20
ircc,2017,13698.20
just,2008,12222.09
just,2009,12222.09
just,2010,48568.78
just,2011,48568.78
nrc,2015,49720.00
nrcan,2011,18761.66
nrcan,2012,71942.30
nrcan,2013,34600.83
nrcan,2014,60017.13
nrcan,2015,106309.82
nrcan,2016,68892.69
nrcan,2017,37344.82
ocol,2017,27854.50
pch,2008,73209.50
pch,2011,159170.62
pch,2012,26641.12
pch,2013,104247.56
pch,2014,77606.45
pch,2015,107989.75
pch,2016,103816.01
pch,2017,126828.87
pco,2013,44985.30
pco,2014,13345.30
phac,2011,49551.39
phac,2012,49551.39
phac,2017,32371.17
ppsc,2009,12416.25
ppsc,2010,12416.25
ps,2012,22448.74
ps,2013,22448.74
ps,2014,30232.02
pspc,2008,13803949.24
pspc,2009,24450726.29
pspc,2010,13872271.47
pspc,2011,13989268.44
pspc,2012,13597610.91
pspc,2013,22563192.09
pspc,2014,17634.20
pspc,2015,-20933172.93
pspc,2016,1753923.14
pspc,2017,946020.45
rcmp,2009,52619.23
rcmp,2010,27537.54
rcmp,2011,21853.31
rcmp,2012,225223.14
rcmp,2013,12777.88
rcmp,2014,12943.99
rcmp,2015,13254.65
rcmp,2017,-106472.22
ssc,2012,50314.88
ssc,2013,76500.66
ssc,2014,101473.66
ssc,2015,25672.35
ssc,2016,25672.35
stats,2008,44805.88
stats,2009,35530.00
stats,2010,76402.13
stats,2011,102064.06
stats,2012,114228.10
stats,2013,19079.82
stats,2014,164701.60
stats,2015,119816.47
stats,2016,331764.94
stats,2017,234766.57
tbs,2015,37007.50
tbs,2016,37007.50
tc,2013,233440.45
tc,2014,233440.45
tc,2015,240490.35
vac,2017,14230.52
