owner_acronym,sum_effective_value
pspc,84061423.31
ec,2162738.22
ic,1311108.90
stats,1243159.55
dnd,926200.73
esdc,780376.32
pch,779509.87
ircc,728280.37
gac,719314.19
tc,707371.25
nrcan,397869.25
inac,321709.30
ssc,279633.89
rcmp,259737.52
dfo,212391.70
cra,210055.34
csa,186327.25
phac,131473.94
just,121581.73
ced,109254.07
fja,81197.41
ps,75129.50
cnsc,74919.00
tbs,74015.00
fintrac,72750.00
ceaa,64392.50
pco,58330.60
hc,53923.27
nrc,49720.00
fin,46200.00
cfia,40723.51
feddev,31640.00
csc,29087.40
ocol,27854.50
ppsc,24832.50
acoa,18285.00
vac,14230.52
