source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,338,210,128,3745654.99,15061102.03
2009,402,214,188,3727881.95,23708965.11
2010,381,200,181,3472586.85,29063608.09
2011,385,230,155,4052245.02,23873032.11
2012,313,171,142,2910864.70,27143322.73
2013,271,137,134,2332157.62,24987682.83
2014,273,122,151,2082062.15,29478680.33
2015,291,130,161,2391588.60,27075589.48
2016,260,138,122,2382982.40,10234279.25
2017,210,101,109,1774817.88,13536874.00
