owner_acronym,sum_effective_value
ssc,74411834.02
cbsa,10457657.84
esdc,7435384.53
ircc,4305883.08
dnd,3391154.22
tbs,2965967.48
gac,2740574.76
rcmp,2618783.71
just,1698662.80
tc,1648778.80
lac,1578067.40
pspc,1140311.90
fin,1117284.38
ec,939530.42
agr,928895.38
cfia,555842.71
stats,532994.44
cnsc,423789.50
ic,382430.70
pch,381287.45
neb,347844.25
pc,333449.48
dfo,193528.03
inac,167542.76
vac,157272.11
cihr,110038.31
pco,104312.10
csps,52446.46
csc,46492.06
ps,44203.91
pptc,43261.79
cas,39968.87
cra,33783.14
fcac,31323.60
osfi,29102.92
infra,24999.98
pbc,19442.00
osgg,18190.47
nrcan,15515.61
ced,14036.40
sshrc,12428.19
chrc,11618.10
crtc,11086.94
elections,10555.11
