gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AGILENT,2013,35,35,0
AGILENT,2014,20,19,1
AGILENT,2015,30,30,0
AGILENT,2016,17,16,1
AGILENT,2017,16,15,1
BIO-RAD LABORATORIES CANADA,2013,29,28,1
BIO-RAD LABORATORIES CANADA,2014,28,27,1
BIO-RAD LABORATORIES CANADA,2015,21,19,2
BIO-RAD LABORATORIES CANADA,2016,21,21,0
BIO-RAD LABORATORIES CANADA,2017,14,14,0
FISHER SCIENTIFIC,2013,82,82,0
FISHER SCIENTIFIC,2014,74,71,3
FISHER SCIENTIFIC,2015,106,100,6
FISHER SCIENTIFIC,2016,26,26,0
FISHER SCIENTIFIC,2017,26,25,1
FISHER SCIENTIFIC COMPANY,2013,3,3,0
FISHER SCIENTIFIC COMPANY,2014,9,9,0
FISHER SCIENTIFIC COMPANY,2015,11,11,0
FISHER SCIENTIFIC COMPANY,2016,57,57,0
FISHER SCIENTIFIC COMPANY,2017,37,37,0
IBM CANADA,2013,26,17,9
IBM CANADA,2014,38,25,13
IBM CANADA,2015,89,58,31
IBM CANADA,2016,95,39,56
IBM CANADA,2017,84,23,61
ILLUMINA CANADA,2013,39,38,1
ILLUMINA CANADA,2014,35,35,0
ILLUMINA CANADA,2015,49,46,3
ILLUMINA CANADA,2016,34,28,6
ILLUMINA CANADA,2017,27,24,3
IMPERIAL OIL,2013,77,53,24
IMPERIAL OIL,2014,54,27,27
IMPERIAL OIL,2015,39,21,18
IMPERIAL OIL,2016,19,13,6
IMPERIAL OIL,2017,11,9,2
LIFE TECHNOLOGIES,2013,32,29,3
LIFE TECHNOLOGIES,2014,41,37,4
LIFE TECHNOLOGIES,2015,25,23,2
LIFE TECHNOLOGIES,2016,22,19,3
LIFE TECHNOLOGIES,2017,13,12,1
VWR INTERNATIONAL,2013,50,50,0
VWR INTERNATIONAL,2014,20,20,0
VWR INTERNATIONAL,2015,37,31,6
VWR INTERNATIONAL,2016,27,27,0
VWR INTERNATIONAL,2017,18,18,0
VWR INTERNATIONAL CO,2013,40,40,0
VWR INTERNATIONAL CO,2014,26,25,1
VWR INTERNATIONAL CO,2015,40,38,2
VWR INTERNATIONAL CO,2016,24,24,0
VWR INTERNATIONAL CO,2017,11,11,0
