source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2015,69,33,36,585178.72,5970299.49
2016,207,111,96,2097077.45,24960325.08
2017,174,74,100,1289703.06,34405559.71
