gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CLAUDE BERGERON,2016,1,1,0
CLAUDE BERGERON,2017,4,4,0
CONWAY BAXTER WILSON LLP/S R L,2017,1,1,0
DAVE JEGGO,2016,2,2,0
DAVID LARIN,2016,2,1,1
KABOOM COMMUNICATION DESIGN,2016,1,1,0
KABOOM COMMUNICATION DESIGN,2017,1,1,0
MATTHEW T MCGARVEY BARRISTER AND SOLICITOR,2016,3,1,2
MATTHEW T MCGARVEY BARRISTER AND SOLICITOR,2017,5,4,1
MICHEL HAMEL CONSULTING,2016,1,1,0
MICHEL HAMEL CONSULTING,2017,2,1,1
MIKE DUNN ENTERPRISES,2016,1,1,0
MIKE DUNN ENTERPRISES,2017,3,3,0
PETER CICALO,2017,2,2,0
SYLVAIN BERTHIAUME,2016,1,1,0
SYLVAIN BERTHIAUME,2017,2,1,1
