gen_vendor_normalized,total_entries,total_contracts,total_amendments
MATTHEW T MCGARVEY BARRISTER AND SOLICITOR,8,5,3
CLAUDE BERGERON,5,5,0
MIKE DUNN ENTERPRISES,4,4,0
MICHEL HAMEL CONSULTING,3,2,1
SYLVAIN BERTHIAUME,3,2,1
PETER CICALO,2,2,0
DAVE JEGGO,2,2,0
DAVID LARIN,2,1,1
CONWAY BAXTER WILSON,2,2,0
KABOOM COMMUNICATION DESIGN,2,2,0
QMR,1,1,0
STENOTRAN SERVICES,1,1,0
BBG MANAGEMENT,1,1,0
XEROX,1,1,0
BRITESKY TECHNOLOGIES,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,1,1,0
DONNA CONA,1,1,0
IMATICS,1,1,0
KNOWLEDGE CIRCLE LEARNING SERVICES,1,1,0
LUMINA IT,1,1,0
MKD INTERNATIONAL,1,1,0
PANXSOLUTIONS,1,1,0
PAUL YELLE,1,1,0
