source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,48,31,1,16,535977.95,24000.00,876867.05
2009,49,26,6,17,431164.16,148673.76,782261.55
2010,62,29,9,24,483853.09,222950.19,2415339.26
2011,40,15,3,22,264659.01,73521.80,1410651.92
2012,52,25,5,22,374074.18,123617.12,2955196.48
2013,57,30,5,22,461460.54,123317.48,3542928.63
2014,54,32,2,20,457349.45,48962.00,1736304.24
2015,52,22,6,24,349232.06,149188.48,1396699.68
2016,67,26,3,38,384553.28,73003.75,5789335.02
2017,42,15,2,25,241052.00,50000.00,3636336.00
