source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,571,217,51,303,3561579.13,1267669.08,211633299.94
2009,556,236,60,260,3831347.03,1486316.08,125699608.85
2010,481,215,37,229,3699476.33,921165.34,80508698.32
2011,414,169,46,199,2674090.81,1137957.87,47831771.89
2012,332,141,31,160,2303879.41,768557.17,795956313.86
2013,312,138,31,143,2231804.84,767827.44,112206596.81
2014,355,130,30,195,2201002.13,743590.48,65805984.06
2015,323,138,23,162,2217982.44,575600.56,68937816.14
2016,358,130,29,199,2058003.44,714792.16,234828371.85
2017,323,136,27,160,2163693.01,670469.24,503897210.93
