owner_acronym,total_entries,total_contracts,total_amendments
pspc,1948,1479,469
dnd,652,608,44
dfo,236,176,60
pc,233,140,93
nrc,174,150,24
rcmp,92,70,22
ec,76,70,6
nrcan,60,59,1
inac,33,27,6
tc,29,25,4
gac,19,19,0
cfia,16,13,3
hc,16,15,1
phac,15,14,1
agr,13,9,4
csc,10,9,1
ircc,10,3,7
ic,9,8,1
acoa,5,4,1
ceaa,4,4,0
cnsc,4,4,0
csa,3,3,0
stats,3,3,0
tbs,2,2,0
ps,1,1,0
neb,1,1,0
just,1,1,0
infra,1,1,0
esdc,1,1,0
