owner_acronym,effective_year,sum_yearly_value
csa,2008,16725119.81
csa,2009,52568331.48
csa,2010,49977301.94
csa,2011,35900952.94
csa,2012,34597088.29
csa,2013,233193704.22
csa,2014,232677942.74
csa,2015,236282682.40
csa,2016,204112080.55
csa,2017,195323509.04
dfo,2010,33713.70
dfo,2011,31488.00
dfo,2013,68618.60
dfo,2014,224618.60
dfo,2015,52779.28
dfo,2016,34955.77
dfo,2017,173381.06
dnd,2008,151884886.50
dnd,2009,280562462.53
dnd,2010,6766546.01
dnd,2011,50322174.93
dnd,2012,42001705.00
dnd,2013,150370434.05
dnd,2014,-107683801.21
dnd,2015,20926669.41
dnd,2016,31304038.49
dnd,2017,21346586.23
ec,2008,1040880.00
ec,2011,9506.95
ec,2012,387830.75
ec,2013,117572.16
ec,2014,30653.25
ec,2015,76356.04
ec,2017,13125.00
gac,2013,49965.59
gac,2014,49965.59
ic,2011,37059.00
ic,2012,12500.00
nrc,2010,10495.00
nrc,2012,323302.00
nrc,2013,409075.00
nrc,2014,105000.00
nrc,2015,528114.50
nrc,2016,1671748.50
nrc,2017,1007873.07
nrcan,2012,2686388.71
nrcan,2013,2465054.22
nrcan,2014,260840.32
nrcan,2015,2007184.77
nrcan,2016,3247739.13
nrcan,2017,3342864.66
pc,2010,27925.60
pc,2017,90957.43
pspc,2011,1206699.43
pspc,2012,1218716.98
pspc,2014,14585.64
rcmp,2009,1098313.13
rcmp,2010,1098313.13
stats,2016,83055.00
