gen_vendor_normalized,total_entries,total_contracts,total_amendments
COSSETTE COMMUNICATIONS,22,17,5
TELECOM COMPUTER SERVICES,12,12,0
RJF COMMUNICATIONS,11,10,1
WILLS TRANSFER,11,9,2
DELOITTE AND TOUCHE,10,10,0
ST JOSEPH COMMUNICATIONS,10,10,0
HYPERACTIVE PRODUCTIONS,10,9,1
CISION,9,7,2
DOLLCO PRINTING,9,9,0
ROBERT HALF CANADA,8,5,3
ALINE BARNOTI,8,8,0
DELTA PRINTING,8,8,0
ASOKAN SOLUTIONS DE BUREAU,8,8,0
WILLIAM HART,8,8,0
ENVIRONICS ANALYTICS,8,8,0
METAFORE CANADA,7,7,0
MICROSOFT CANADA,7,6,1
NEWS CANADA,7,6,1
CGI,7,5,2
ERNST YOUNG,7,7,0
JEFF BALCH,6,4,2
CHRISTOPHER GILMOUR,6,5,1
IPSOS REID,6,6,0
ECHELON COMMUNICATIONS,6,5,1
EXCEL HUMAN RESOURCES,6,3,3
KABOOM COMMUNICATIONS DESIGN,6,4,2
ACART COMMUNICATIONS,6,4,2
HEWLETT PACKARD,6,6,0
HAWORTH,6,6,0
HAY GROUP,6,4,2
BRYMARK,5,5,0
ENTRUST,5,2,3
NEWCOMP SOLUTIONS,5,5,0
ANET SOLUTIONS,5,4,1
MARGO CONNORS,5,4,1
DEBRA BROWN EXECUTIVE CONSULTING,5,5,0
RFP SOLUTIONS,5,3,2
OGILVIE MONTREAL,5,3,2
PAT DUNPHY,5,3,2
ROBERTSON COMPANY,5,4,1
INFUSION COMMUNICATIONS AND DESIGN,4,3,1
N CHENEVERT MIQUELON,4,4,0
CAKEBREAD,4,4,0
NATIONAL PRINTERS,4,3,1
ALTIS HUMAN RESOURCES,4,3,1
DONNA CONA,4,1,3
INSIGHT SOFTWARE CANADA,4,4,0
CURRICULUM SERVICES CANADA,4,3,1
SOCIAL RESEARCH AND DEMONSTRATION,3,3,0
ATTAIN INSIGHT SOLUTIONS,3,3,0
CIA,3,2,1
NICOLE CHENEVERT MIQUELON,3,3,0
XEROX,3,3,0
DYNAMIC PERSONNEL CONSULTANTS,3,3,0
JUMPING ELEPHANTS,3,3,0
KONICA MINOLTA BUSINESS SOLUTIONS,3,2,1
INTEGRUS BRAND SOLUTIONS,3,3,0
MARKETWIRE,3,3,0
ACNIELSEN COMPANY OF CANADA,3,2,1
TRICO GROUP,3,3,0
WEBTRENDS,3,3,0
SPEAKERS SPOTLIGHT,3,3,0
ROGERS,3,3,0
CYGNOS,3,3,0
HILL KNOWLTON STRATEGIES,3,3,0
TARGET COMMUNICATIONS,3,3,0
CREATIVE AGENCY,3,2,1
PROSPER CANADA,3,3,0
GORDON GROUP,3,3,0
HEBB KNIGHT AND ASSOCIATES,3,2,1
1364300 ONTARIO,3,3,0
NORTHERN MICRO,3,3,0
PERSONNEL FORCE,3,2,1
NEW PRINTING,2,2,0
CNWGROUP,2,2,0
CNW GROUP,2,2,0
CLA PERSONNEL,2,2,0
BANFIELD SEGUIN,2,2,0
NEWS CANADA INCFIFTH STORY,2,1,1
CISTEL TECHNOLOGY,2,1,1
CISION CANADA,2,2,0
ATRIUM,2,2,0
ADVANCED CHIPPEWA TECHNOLOGIES,2,2,0
ASSOCIATION OF CANADIAN COMMUNITY COLLEGES,2,2,0
ADVANCED BUSINESS INTERIORS,2,2,0
NEWCOMP ANALYTICS,2,2,0
ASOKAN BUSINESS INTERIORS,2,2,0
CASFAA,2,2,0
MISHKUMI TECHNOLOGIES,2,2,0
MIKE COMMUNICATIONS,2,2,0
NAVPOINT CONSULTING GROUP,2,2,0
NISHA TECHONOLOGIES,2,2,0
LUCIANA JOHNSON,2,2,0
LISA FURRIE,2,2,0
LUMINA IT,2,2,0
LAFOREST COMMUNICATIONS,2,1,1
LES COMMUNICATIONS ATRIUM,2,2,0
MANIFEST COMMUNICATIONS,2,2,0
KBSP CANADA,2,2,0
CALIAN,2,2,0
