source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,42,19,14,9,293231.86,350433.50,598245.69
2009,62,32,13,17,458111.04,323936.63,1788065.17
2010,77,33,23,21,539376.33,572353.32,2076049.20
2011,72,41,16,15,662547.61,397941.75,1031197.67
2012,62,30,17,15,427815.06,423171.68,5820967.81
2013,39,20,13,6,307247.37,323290.14,203184.17
2014,66,25,19,22,437363.57,473754.42,1805621.84
2015,52,26,7,19,429975.41,173224.48,1896717.65
2016,51,30,7,14,491837.15,174404.88,961400.80
2017,82,36,19,27,573903.19,471988.24,3499416.47
