owner_acronym,sum_effective_value
dnd,45910739.50
csc,18477058.00
ic,14850857.44
hc,14541839.52
ircc,14278395.17
gac,13840341.58
phac,9590310.71
esdc,6890193.97
stats,6848156.39
ssc,6292437.39
elections,5989960.20
tc,4278785.46
fcac,4000000.00
ps,3656961.60
just,3584813.47
inac,3581196.45
pspc,2874488.65
infra,2622958.83
tbs,2611364.80
dfo,2495167.50
agr,1545799.50
cbsa,1053943.00
ec,1009958.60
lac,679333.22
psc,554062.00
nrc,508212.00
fja,505413.97
nrcan,488103.50
pch,450110.88
cnsc,335446.25
ceaa,249000.00
rcmp,244443.14
pco,234642.67
pptc,208677.00
vac,131847.97
mgerc,48590.00
pbc,44070.00
cra,33888.70
nserc,24747.00
oic,9999.38
