owner_acronym,total_entries,total_contracts,total_amendments
ircc,160,93,67
ic,115,58,57
dnd,84,64,20
gac,68,41,27
stats,44,44,0
esdc,37,35,2
agr,30,22,8
tc,24,16,8
inac,23,19,4
dfo,22,10,12
pspc,21,17,4
elections,19,14,5
rcmp,18,12,6
tbs,17,12,5
ssc,17,8,9
phac,14,12,2
fja,14,10,4
hc,14,12,2
just,14,5,9
ec,12,9,3
ps,9,9,0
infra,7,4,3
csc,5,3,2
pch,5,3,2
pptc,4,4,0
cnsc,4,4,0
nrc,4,3,1
nrcan,4,4,0
psc,4,4,0
pco,3,3,0
ceaa,3,1,2
fcac,2,2,0
mgerc,2,2,0
lac,2,1,1
vac,2,1,1
cbsa,2,2,0
isc,1,1,0
cra,1,1,0
pbc,1,1,0
oic,1,1,0
nserc,1,1,0
fin,1,1,0
