source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2015,2,2,0,15220.35,0.00
2016,49,42,7,381624.19,289160.55
2017,16,10,6,171468.89,508403.54
