owner_acronym,total_entries,total_contracts,total_amendments
rcmp,353,343,10
cra,193,111,82
dnd,78,77,1
ec,29,27,2
esdc,10,10,0
gac,8,7,1
ic,7,7,0
just,4,4,0
dfo,2,2,0
nrc,2,2,0
pc,2,2,0
csa,2,2,0
cta,1,1,0
ps,1,1,0
vac,1,1,0
