owner_acronym,source_year,total_entries,total_contracts,total_amendments
cra,2008,63,48,15
cra,2009,32,20,12
cra,2010,34,15,19
cra,2011,64,28,36
csa,2010,1,1,0
csa,2012,1,1,0
cta,2017,1,1,0
dfo,2011,2,2,0
dnd,2008,17,16,1
dnd,2009,16,16,0
dnd,2010,24,24,0
dnd,2011,20,20,0
dnd,2012,1,1,0
ec,2008,6,6,0
ec,2009,7,7,0
ec,2010,7,7,0
ec,2011,7,7,0
ec,2012,2,0,2
esdc,2008,4,4,0
esdc,2009,3,3,0
esdc,2010,1,1,0
esdc,2011,2,2,0
gac,2016,1,1,0
gac,2017,7,6,1
ic,2008,2,2,0
ic,2009,3,3,0
ic,2010,1,1,0
ic,2011,1,1,0
just,2008,3,3,0
just,2009,1,1,0
nrc,2009,1,1,0
nrc,2010,1,1,0
pc,2008,1,1,0
pc,2013,1,1,0
ps,2008,1,1,0
rcmp,2008,30,29,1
rcmp,2009,62,62,0
rcmp,2010,40,40,0
rcmp,2011,37,37,0
rcmp,2012,38,37,1
rcmp,2013,52,50,2
rcmp,2014,24,24,0
rcmp,2015,12,11,1
rcmp,2016,26,23,3
rcmp,2017,32,30,2
vac,2012,1,1,0
