gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2011,8,7,1
ALTIS HUMAN RESOURCES,2012,12,11,1
ALTIS HUMAN RESOURCES,2013,14,9,5
ALTIS HUMAN RESOURCES,2014,18,7,11
ALTIS HUMAN RESOURCES,2015,4,3,1
ALTIS HUMAN RESOURCES,2016,18,14,4
ALTIS HUMAN RESOURCES,2017,5,4,1
DONNA CONA,2011,4,4,0
DONNA CONA,2012,21,13,8
DONNA CONA,2013,27,16,11
DONNA CONA,2014,22,12,10
DONNA CONA,2015,34,20,14
DONNA CONA,2016,27,14,13
DONNA CONA,2017,6,1,5
FISHER SCIENTIFIC,2011,2,2,0
FISHER SCIENTIFIC,2012,12,12,0
FISHER SCIENTIFIC,2013,13,13,0
FISHER SCIENTIFIC,2014,11,11,0
FISHER SCIENTIFIC,2015,7,7,0
FISHER SCIENTIFIC,2016,20,20,0
FISHER SCIENTIFIC,2017,14,14,0
FISHER SCIENTIFIC COMPANY,2012,1,1,0
FISHER SCIENTIFIC COMPANY,2013,26,26,0
FISHER SCIENTIFIC COMPANY,2014,17,17,0
FISHER SCIENTIFIC COMPANY,2015,15,15,0
FISHER SCIENTIFIC COMPANY,2016,29,28,1
FISHER SCIENTIFIC COMPANY,2017,5,5,0
LIFE TECHNOLOGIES,2012,1,1,0
LIFE TECHNOLOGIES,2013,10,10,0
LIFE TECHNOLOGIES,2014,13,13,0
LIFE TECHNOLOGIES,2015,15,15,0
LIFE TECHNOLOGIES,2016,22,22,0
LIFE TECHNOLOGIES,2017,7,7,0
LUMINA IT,2011,9,9,0
LUMINA IT,2012,25,16,9
LUMINA IT,2013,30,19,11
LUMINA IT,2014,25,9,16
LUMINA IT,2015,29,11,18
LUMINA IT,2016,24,4,20
LUMINA IT,2017,22,6,16
MAXXAM ANALYTICAL INTERNATIONAL,2011,15,15,0
MAXXAM ANALYTICAL INTERNATIONAL,2012,22,22,0
MAXXAM ANALYTICAL INTERNATIONAL,2013,21,21,0
MAXXAM ANALYTICAL INTERNATIONAL,2014,19,11,8
MAXXAM ANALYTICAL INTERNATIONAL,2015,13,7,6
MAXXAM ANALYTICAL INTERNATIONAL,2016,12,5,7
MAXXAM ANALYTICAL INTERNATIONAL,2017,6,5,1
THE AIM GROUP,2011,4,4,0
THE AIM GROUP,2012,15,10,5
THE AIM GROUP,2013,24,15,9
THE AIM GROUP,2014,37,20,17
THE AIM GROUP,2015,18,5,13
THE AIM GROUP,2016,19,6,13
THE AIM GROUP,2017,12,3,9
UNIVERSITY OF GUELPH,2011,17,17,0
UNIVERSITY OF GUELPH,2012,20,20,0
UNIVERSITY OF GUELPH,2013,21,20,1
UNIVERSITY OF GUELPH,2014,12,8,4
UNIVERSITY OF GUELPH,2015,7,7,0
UNIVERSITY OF GUELPH,2016,11,8,3
UNIVERSITY OF GUELPH,2017,7,5,2
WATERS,2011,5,5,0
WATERS,2012,16,16,0
WATERS,2013,13,13,0
WATERS,2014,14,14,0
WATERS,2015,15,15,0
WATERS,2016,17,16,1
WATERS,2017,10,10,0
