owner_acronym,total_entries,total_contracts,total_amendments
dfo,148,89,59
cfia,141,80,61
inac,105,91,14
esdc,77,55,22
agr,59,31,28
dnd,44,40,4
pspc,21,16,5
phac,20,14,6
ssc,19,14,5
hc,19,12,7
gac,17,9,8
rcmp,15,11,4
ic,14,11,3
cbsa,12,9,3
ps,10,10,0
tbs,10,8,2
ircc,9,4,5
ec,9,6,3
pc,9,6,3
psc,9,4,5
stats,8,8,0
just,8,6,2
csc,7,4,3
ceaa,4,2,2
neb,4,3,1
nrc,4,4,0
fcac,4,1,3
elections,3,2,1
acoa,3,3,0
nrcan,3,3,0
cta,2,1,1
osfi,2,2,0
infra,2,1,1
tc,2,2,0
cnsc,2,2,0
oic,1,1,0
mpcc,1,1,0
cihr,1,1,0
chrc,1,1,0
pco,1,1,0
pptc,1,1,0
ppsc,1,1,0
