owner_acronym,sum_effective_value
inac,64091831.51
csc,19643002.04
cfia,17110900.65
esdc,14429838.51
dnd,9008144.07
dfo,8891368.26
agr,8698653.05
cbsa,7747220.97
gac,6402859.53
ssc,6390827.40
hc,4765087.07
phac,4678131.09
pspc,2454512.67
ircc,2103083.68
tbs,1701050.41
rcmp,1145597.95
ic,1056109.50
pc,1027097.83
just,791790.84
psc,685908.00
tc,461266.00
stats,420654.18
ceaa,358180.00
ps,291275.40
ec,238050.00
cta,173453.57
osfi,169875.43
nrc,145115.38
fcac,137106.50
acoa,128543.44
neb,121067.36
cnsc,119214.94
cas,117525.50
nrcan,103705.00
infra,79695.51
chrc,36951.00
ppsc,35549.54
mpcc,27120.00
fintrac,23782.25
