owner_acronym,sum_effective_value
dnd,69785746.05
gac,19488178.02
pspc,16488305.43
ec,11386175.21
dfo,9432524.07
hc,9359374.69
nrcan,8853763.26
ic,7518961.76
phac,6910143.24
cbsa,5120968.95
tc,4656322.70
tbs,4566808.34
just,4312919.02
cra,3227036.12
cfia,3088742.39
nrc,3068002.18
ircc,2960843.01
ssc,2467489.70
agr,2257312.78
pch,2166544.37
esdc,1968151.43
feddev,1543719.44
rcmp,1523377.13
cnsc,1507160.00
pco,1243900.73
inac,1235433.65
ps,1102529.05
osfi,1087724.75
ppsc,1014905.88
infra,952601.06
pc,780356.61
elections,755033.18
neb,571487.25
csc,517531.00
csps,458276.31
ceaa,407179.61
fin,371324.76
lac,222230.51
cta,220297.40
psc,167448.00
oic,135257.77
vac,120757.68
pptc,117096.04
opc,91768.68
cas,81410.22
cihr,61990.39
fcac,56243.94
ocl,45570.08
nserc,44239.50
csa,28087.50
stats,27967.50
tsb,23431.28
ocol,23336.25
ced,15826.89
atssc,9290.53
sshrc,6102.00
