owner_acronym,total_entries,total_contracts,total_amendments
pspc,411,293,118
ec,356,275,81
dnd,338,260,78
dfo,278,167,111
gac,261,195,66
hc,188,153,35
phac,178,149,29
ic,135,105,30
feddev,122,52,70
tc,108,89,19
nrcan,108,77,31
esdc,81,67,14
cfia,79,55,24
nrc,76,42,34
ircc,70,51,19
just,61,41,20
ssc,51,30,21
tbs,44,35,9
inac,40,33,7
pch,40,32,8
neb,38,25,13
agr,29,17,12
cbsa,28,20,8
infra,26,19,7
ps,23,20,3
cnsc,22,18,4
rcmp,20,15,5
pco,20,14,6
fin,18,9,9
ppsc,17,13,4
pc,16,12,4
cra,16,11,5
ceaa,13,12,1
osfi,12,6,6
lac,9,6,3
csc,8,7,1
elections,7,5,2
pptc,7,5,2
csps,6,6,0
cta,5,3,2
vac,5,3,2
fcac,4,3,1
psc,3,3,0
stats,3,3,0
oic,3,3,0
chrc,2,2,0
nserc,2,2,0
cihr,2,2,0
swc,2,2,0
cas,2,2,0
crtc,1,1,0
ocl,1,1,0
ced,1,1,0
ocol,1,1,0
csa,1,1,0
sshrc,1,1,0
atssc,1,1,0
tsb,1,1,0
