source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,12564,5103,563,6898,81018478.54,13971228.37,8492008956.91
2009,13450,5575,604,7271,88604595.98,15028811.20,5509261992.11
2010,15498,6722,717,8059,106318570.09,17805822.28,4093023789.69
2011,22023,9087,944,11992,143723172.07,23478819.48,8077972320.96
2012,14027,5759,564,7704,91261257.23,14017555.28,4877258911.94
2013,14986,6421,615,7950,101503841.03,15276360.80,4475363466.45
2014,17383,7426,757,9200,117291581.50,18780082.48,6648368305.21
2015,17267,7353,733,9181,116253217.88,18149661.80,5732252682.90
2016,10395,4606,463,5326,71727569.79,11505177.45,3788634168.14
2017,13230,6247,701,6282,97546951.06,17415025.71,3520702600.57
