source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,12564,5515,7049,91152184.69,8495846479.13
2009,13450,5962,7488,98122054.23,5514773345.06
2010,15498,7227,8271,118737492.80,4098410689.26
2011,22023,9734,12289,159648825.79,8085525486.72
2012,14027,6140,7887,100626037.55,4881911686.90
2013,14986,6845,8141,111931692.99,4480211975.29
2014,17383,7988,9395,131117991.17,6653321978.02
2015,17267,7905,9362,129814859.71,5736840702.87
2016,10395,4922,5473,79500945.82,3792365969.56
2017,13230,6750,6480,109923107.80,3525741469.54
