gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
BELL CANADA,2009,1,1,0
BELL CANADA,2010,8,7,1
BELL CANADA,2011,10,9,1
BELL CANADA,2012,2,2,0
BRIGDEN CATHERINE,2008,1,1,0
BRIGDEN CATHERINE,2009,2,2,0
BRIGDEN CATHERINE,2010,2,2,0
BRIGDEN CATHERINE,2011,3,3,0
BRIGDEN CATHERINE,2012,1,1,0
BRIGDEN CATHERINE,2013,3,2,1
BRIGDEN CATHERINE,2014,2,2,0
BRIGDEN CATHERINE,2015,2,2,0
BRIGDEN CATHERINE,2016,1,1,0
CARGAIR LTEE MAX AVIATION,2008,8,8,0
CARGAIR LTEE MAX AVIATION,2009,10,10,0
CARGAIR LTEE MAX AVIATION,2010,2,2,0
ENSEIGNES PATTISON SIGN GROUP,2009,16,16,0
ENSEIGNES PATTISON SIGN GROUP,2010,7,5,2
ENSEIGNES PATTISON SIGN GROUP,2013,8,7,1
ENSEIGNES PATTISON SIGN GROUP,2016,1,1,0
ENSEIGNES PATTISON SIGN GROUP,2017,1,1,0
EXACT AIR,2008,4,4,0
EXACT AIR,2009,8,8,0
EXACT AIR,2010,8,8,0
EXACT AIR,2012,1,1,0
EXACT AIR,2014,1,1,0
FREEBALANCE,2008,2,2,0
FREEBALANCE,2009,7,7,0
FREEBALANCE,2010,7,7,0
FREEBALANCE,2011,11,8,3
FREEBALANCE,2012,10,9,1
FREEBALANCE,2013,7,7,0
FREEBALANCE,2014,3,3,0
FREEBALANCE,2015,2,1,1
FREEBALANCE,2016,3,2,1
FREEBALANCE,2017,6,4,2
I C I INFLUENCE COMMUNICATIONSINC,2010,4,4,0
I C I INFLUENCE COMMUNICATIONSINC,2011,7,7,0
I C I INFLUENCE COMMUNICATIONSINC,2012,5,4,1
I C I INFLUENCE COMMUNICATIONSINC,2013,4,2,2
ORACLE CANADA,2008,2,2,0
ORACLE CANADA,2009,2,2,0
ORACLE CANADA,2010,4,3,1
ORACLE CANADA,2011,2,2,0
ORACLE CANADA,2012,2,2,0
ORACLE CANADA,2013,2,2,0
ORACLE CANADA,2014,1,1,0
ORACLE CANADA,2015,2,2,0
ORACLE CANADA,2016,2,2,0
ORACLE CANADA,2017,2,2,0
SOFTCHOICE,2008,6,6,0
SOFTCHOICE,2009,3,3,0
SOFTCHOICE,2010,2,2,0
SOFTCHOICE,2011,1,1,0
SOFTCHOICE,2012,1,1,0
SOFTCHOICE,2013,1,1,0
SOFTCHOICE,2015,1,1,0
SOFTCHOICE,2017,2,2,0
XEROX,2008,5,5,0
XEROX,2010,2,1,1
XEROX,2011,1,1,0
XEROX,2013,6,5,1
XEROX,2014,7,4,3
XEROX,2015,6,3,3
XEROX,2016,3,0,3
