owner_acronym,sum_effective_value
dnd,275876935.42
ssc,68265660.23
esdc,21893585.50
pspc,17025812.59
stats,14724642.02
csc,14572284.08
ic,7950697.63
rcmp,7795864.83
tbs,6874939.33
agr,6570376.87
inac,5498039.43
pch,4993964.25
ircc,4640468.60
nrcan,4525264.32
cbsa,4447485.31
pco,4014463.87
just,3488051.63
tc,3441068.50
cra,3004996.60
phac,2842655.65
cfia,2760431.42
hc,2618082.56
dfo,2586293.82
fin,2380415.76
nrc,2344553.10
infra,2068984.84
vac,1543439.44
ec,1411571.27
cnsc,1379041.69
pc,1367813.64
gac,1232449.57
csps,658879.11
acoa,465682.09
ps,443870.20
ced,440595.33
ppsc,403441.57
psc,383642.00
csa,369463.59
cihr,269935.99
cas,269070.19
elections,250038.45
pptc,216853.17
lac,177415.80
vrab,96086.00
psic,84762.67
feddev,55681.85
fcac,45887.94
ceaa,45642.06
fintrac,34000.00
cta,31162.19
mgerc,24270.03
neb,12409.62
tsb,11644.90
