owner_acronym,effective_year,sum_yearly_value
acoa,2012,78762.85
acoa,2013,93215.13
acoa,2014,101177.74
acoa,2015,192526.37
agr,2014,560960.83
agr,2015,592851.42
agr,2016,4435914.10
agr,2017,980650.52
cas,2017,269070.19
cbsa,2014,44772.86
cbsa,2015,471799.47
cbsa,2016,697096.92
cbsa,2017,3233816.06
ceaa,2016,45642.06
ced,2015,36180.41
ced,2016,381270.19
ced,2017,23144.73
cfia,2011,294782.00
cfia,2012,30322.00
cfia,2013,876938.60
cfia,2015,41835.15
cfia,2016,740189.37
cfia,2017,776364.30
cihr,2016,83831.99
cihr,2017,186104.00
cnsc,2008,60353.16
cnsc,2009,210370.28
cnsc,2010,210292.56
cnsc,2011,307174.58
cnsc,2012,25239.58
cnsc,2016,386463.59
cnsc,2017,179147.94
cra,2008,79865.10
cra,2009,20537.37
cra,2010,10082.52
cra,2011,12380.51
cra,2013,163161.84
cra,2014,90532.21
cra,2015,164682.12
cra,2016,2215100.15
cra,2017,248654.79
csa,2010,27562.50
csa,2011,29814.07
csa,2012,82237.95
csa,2013,64037.93
csa,2015,69721.92
csa,2016,36537.30
csa,2017,59551.94
csc,2014,68874.00
csc,2015,3212998.00
csc,2016,9668851.28
csc,2017,1621560.81
csps,2015,144856.92
csps,2016,514022.19
cta,2017,31162.19
dfo,2010,80152.45
dfo,2011,474141.72
dfo,2012,260428.22
dfo,2013,45796.75
dfo,2014,32354.20
dfo,2015,40680.00
dfo,2016,162262.10
dfo,2017,1490478.38
dnd,2008,937830.19
dnd,2009,2610582.47
dnd,2010,3417026.21
dnd,2011,113491489.02
dnd,2012,112999759.91
dnd,2013,7776807.48
dnd,2014,10525640.97
dnd,2015,11982024.82
dnd,2016,5032156.89
dnd,2017,7103617.45
ec,2008,11697.00
ec,2009,127437.00
ec,2010,74640.00
ec,2011,161149.34
ec,2012,110834.34
ec,2013,174248.56
ec,2014,285879.08
ec,2015,214315.80
ec,2016,242076.33
ec,2017,9293.84
elections,2017,250038.45
esdc,2008,30101.40
esdc,2009,188804.28
esdc,2010,506889.60
esdc,2011,87971.10
esdc,2012,363580.88
esdc,2013,363580.88
esdc,2014,580581.92
esdc,2015,3186585.56
esdc,2016,16248594.13
esdc,2017,336895.77
fcac,2016,9899.03
fcac,2017,35988.91
feddev,2011,20661.00
feddev,2015,11284.18
feddev,2017,23736.67
fin,2008,262027.51
fin,2009,48166.14
fin,2011,35058.02
fin,2012,404145.96
fin,2013,143202.58
fin,2014,59603.27
fin,2015,117680.26
fin,2016,237665.60
fin,2017,1072866.42
fintrac,2009,34000.00
gac,2013,41209.72
gac,2015,371598.53
gac,2016,122256.27
gac,2017,697385.05
hc,2010,51292.40
hc,2011,1738022.31
hc,2012,30020.48
hc,2016,121456.07
hc,2017,677291.30
ic,2008,34218.00
ic,2009,238712.00
ic,2010,16922.00
ic,2011,1890654.00
ic,2012,276210.50
ic,2013,566748.00
ic,2014,551800.00
ic,2015,2023462.50
ic,2016,1398318.50
ic,2017,953652.13
inac,2013,258930.86
inac,2014,2877036.48
inac,2015,1595558.64
inac,2016,357989.01
inac,2017,408524.45
infra,2009,324324.79
infra,2010,334493.88
infra,2011,119972.79
infra,2012,20643.81
infra,2014,377845.71
infra,2015,47782.26
infra,2016,751873.95
infra,2017,92047.65
ircc,2011,1175710.61
ircc,2012,59410.01
ircc,2013,61970.01
ircc,2014,193688.44
ircc,2015,162300.54
ircc,2016,242592.16
ircc,2017,2744796.84
just,2008,188172.22
just,2009,197002.38
just,2010,158577.69
just,2011,43417.88
just,2012,47806.63
just,2013,569292.32
just,2014,461976.95
just,2015,542227.08
just,2016,840535.61
just,2017,439042.87
lac,2014,28822.22
lac,2015,64760.84
lac,2016,66400.87
lac,2017,17431.87
mgerc,2016,24270.03
neb,2017,12409.62
nrc,2011,74750.00
nrc,2012,34615.00
nrc,2014,453931.00
nrc,2015,22202.00
nrc,2016,453561.94
nrc,2017,1305493.16
nrcan,2013,183194.83
nrcan,2014,622777.74
nrcan,2015,1718597.24
nrcan,2016,1155526.24
nrcan,2017,845168.27
pc,2008,123459.42
pc,2009,178145.28
pc,2010,176670.44
pc,2011,111424.40
pc,2012,48016.74
pc,2014,93816.60
pc,2015,97771.05
pc,2016,448726.23
pc,2017,89783.49
pch,2008,379402.33
pch,2009,108945.95
pch,2010,269671.46
pch,2011,531803.90
pch,2012,14454.99
pch,2013,178485.10
pch,2014,1278191.49
pch,2015,1627801.42
pch,2016,321688.26
pch,2017,283519.35
pco,2010,27720.00
pco,2012,149955.52
pco,2014,20648.49
pco,2015,126121.29
pco,2016,681086.11
pco,2017,3008932.46
phac,2010,105060.62
phac,2011,1777553.09
phac,2012,49556.08
phac,2015,36626.98
phac,2016,162647.22
phac,2017,711211.66
ppsc,2012,61879.81
ppsc,2013,22148.00
ppsc,2015,13447.00
ppsc,2016,300167.09
ppsc,2017,5799.67
pptc,2011,151380.30
pptc,2012,53102.87
pptc,2013,12370.01
ps,2012,59002.22
ps,2016,240950.17
ps,2017,143917.81
psc,2008,276360.00
psc,2011,107282.00
psic,2017,84762.67
pspc,2008,863949.33
pspc,2009,1111714.58
pspc,2010,609103.68
pspc,2011,1422812.03
pspc,2012,613525.33
pspc,2013,765147.91
pspc,2014,4195248.36
pspc,2015,3357936.39
pspc,2016,3670912.00
pspc,2017,415462.98
rcmp,2008,44058.00
rcmp,2010,83444.87
rcmp,2011,1371749.91
rcmp,2012,186690.29
rcmp,2013,103007.88
rcmp,2014,208921.56
rcmp,2015,667232.64
rcmp,2016,2519619.40
rcmp,2017,2611140.28
ssc,2012,1286697.01
ssc,2013,8310372.03
ssc,2014,5241114.09
ssc,2015,5264326.46
ssc,2016,3164338.15
ssc,2017,44998812.50
stats,2008,4526318.99
stats,2009,1773164.15
stats,2010,1388524.91
stats,2011,1217342.22
stats,2012,362133.63
stats,2013,530812.70
stats,2014,1104512.15
stats,2015,2580554.33
stats,2016,803234.75
stats,2017,438044.18
tbs,2008,297046.36
tbs,2010,13269.77
tbs,2011,1583432.46
tbs,2013,874563.69
tbs,2014,1478759.08
tbs,2015,849243.99
tbs,2016,1227862.69
tbs,2017,550761.29
tc,2011,26725.63
tc,2012,159918.49
tc,2013,65580.07
tc,2014,537909.33
tc,2015,519823.30
tc,2016,1150369.16
tc,2017,980742.53
tsb,2017,11644.90
vac,2011,124448.04
vac,2012,211598.87
vac,2013,133209.13
vac,2014,30777.47
vac,2015,393005.29
vac,2016,437021.39
vac,2017,213379.25
vrab,2012,12044.00
vrab,2016,84042.00
