owner_acronym,total_entries,total_contracts,total_amendments
dnd,836,825,11
ssc,350,301,49
pspc,166,153,13
rcmp,153,149,4
stats,119,118,1
ic,105,104,1
tc,75,75,0
inac,74,74,0
cra,73,57,16
dfo,70,64,6
ec,59,59,0
pc,56,55,1
nrcan,53,53,0
cbsa,52,51,1
nrc,51,48,3
pch,51,50,1
hc,48,48,0
tbs,41,37,4
just,39,39,0
fin,36,36,0
agr,34,34,0
esdc,33,31,2
cfia,32,31,1
pco,32,31,1
vac,32,30,2
csc,30,26,4
phac,28,28,0
infra,27,27,0
ircc,25,25,0
gac,23,23,0
cnsc,14,14,0
acoa,10,10,0
csa,10,9,1
ppsc,8,8,0
lac,7,7,0
cihr,7,7,0
ps,7,7,0
elections,6,6,0
csps,6,6,0
feddev,5,3,2
pptc,5,5,0
ced,5,5,0
cas,5,5,0
vrab,3,3,0
fintrac,3,3,0
fcac,3,3,0
cta,3,3,0
tsb,3,3,0
cgc,2,2,0
isc,2,2,0
psic,1,1,0
nserc,1,1,0
neb,1,1,0
ceaa,1,1,0
mgerc,1,1,0
cannor,1,1,0
atssc,1,1,0
ocl,1,1,0
crtc,1,1,0
psc,1,1,0
