vendor_normalized,effective_year,sum_yearly_value
DAVID M PACIOCCO,2009,15120.00
DELTA MEDIA,2009,30423.75
DELTA MEDIA,2010,30423.75
ELLEN FRY,2011,24860.00
EXCEL HUMAN RESOURCES,2013,99914.40
EXCEL HUMAN RESOURCES,2016,22107.60
EXCEL HUMAN RESOURCES,2017,22107.60
GELDER GINGRAS ASSOCIATES,2008,12075.00
GELDER GINGRAS ASSOCIATES,2009,12075.00
HAWORTH,2010,22489.44
KABOOM COMMUNICATION DESIGN,2008,8337.00
KABOOM COMMUNICATION DESIGN,2009,8337.00
LOWE MARTIN COMPANY,2009,12586.35
NATIONAL PUBLIC RELATIONS,2008,15225.00
NATIONAL PUBLIC RELATIONS,2009,23467.50
QUINTET CONSULTING,2014,50450.00
QUINTET CONSULTING,2015,50450.00
