source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2016,42,27,2,13,396852.32,49447.20,987794.19
2017,122,68,4,50,1026672.60,100000.08,6595347.51
