gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ABRAXIS,2016,1,1,0
ABRAXIS,2017,3,3,0
AGILENT,2016,1,1,0
AGILENT,2017,6,6,0
CW BRABENDER INSTRUMENTS,2016,1,1,0
CW BRABENDER INSTRUMENTS,2017,3,3,0
DELL COMPUTER,2017,4,4,0
FISHER SCIENTIFIC COMPANY,2016,3,3,0
FISHER SCIENTIFIC COMPANY,2017,6,6,0
LIFE TECHNOLOGIES,2016,2,2,0
LIFE TECHNOLOGIES,2017,4,4,0
METTLER TOLEDO,2017,3,3,0
THERMOFISHER SCIENTIFIC,2016,1,1,0
THERMOFISHER SCIENTIFIC,2017,4,4,0
WATERS,2016,3,3,0
WATERS,2017,6,6,0
XEROX,2017,6,6,0
