source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,267,147,22,98,2424238.28,545953.50,26595657.34
2009,224,123,13,88,1909270.93,321319.03,21658511.68
2010,167,101,14,52,1572506.39,347430.30,14489849.81
2011,179,79,12,88,1270058.07,296425.31,21483001.32
2012,111,66,6,39,917657.45,147996.64,17804409.08
2013,102,49,9,44,768121.93,224272.84,15623667.39
2014,126,73,11,42,1066842.88,272606.66,15867836.23
2015,82,39,10,33,591176.19,249712.59,5079375.27
2016,128,67,14,47,1057767.69,346605.73,6563813.46
2017,110,59,12,39,895328.75,295708.41,5625342.59
