source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,267,165,102,2868354.35,26697494.77
2009,224,134,90,2179874.96,21709226.68
2010,167,112,55,1843935.27,14565851.23
2011,179,91,88,1566483.38,21483001.32
2012,111,72,39,1065654.09,17804409.08
2013,102,55,47,916659.02,15699403.14
2014,126,83,43,1314092.34,15893193.43
2015,82,45,37,739642.75,5180621.30
2016,128,81,47,1404373.42,6563813.46
2017,110,70,40,1165896.63,5650483.12
