gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
4 OFFICE AUTOMATION,2012,5,4,1
4 OFFICE AUTOMATION,2013,11,9,2
4 OFFICE AUTOMATION,2014,7,3,4
4 OFFICE AUTOMATION,2015,1,0,1
ARTEMP PERSONNEL SERVICES,2008,6,6,0
ARTEMP PERSONNEL SERVICES,2009,5,3,2
ARTEMP PERSONNEL SERVICES,2010,5,3,2
ARTEMP PERSONNEL SERVICES,2011,1,1,0
ARTEMP PERSONNEL SERVICES,2012,3,1,2
ARTEMP PERSONNEL SERVICES,2013,3,2,1
ARTEMP PERSONNEL SERVICES,2014,3,1,2
ARTEMP PERSONNEL SERVICES,2015,2,1,1
ARTEMP PERSONNEL SERVICES,2016,8,4,4
ARTEMP PERSONNEL SERVICES,2017,5,2,3
BELL CANADA,2008,8,8,0
BELL CANADA,2009,1,1,0
BELL CANADA,2010,1,1,0
BELL CANADA,2011,13,13,0
COSSETTE COMMUNICATIONS,2008,2,2,0
COSSETTE COMMUNICATIONS,2009,5,3,2
COSSETTE COMMUNICATIONS,2010,4,3,1
COSSETTE COMMUNICATIONS,2011,3,2,1
COSSETTE COMMUNICATIONS,2012,5,3,2
COSSETTE COMMUNICATIONS,2013,9,9,0
COSSETTE COMMUNICATIONS,2014,9,9,0
COSSETTE COMMUNICATIONS,2015,4,2,2
COSSETTE COMMUNICATIONS,2016,2,2,0
EXCEL HUMAN RESOURCES,2008,3,3,0
EXCEL HUMAN RESOURCES,2009,4,3,1
EXCEL HUMAN RESOURCES,2010,7,2,5
EXCEL HUMAN RESOURCES,2011,2,2,0
EXCEL HUMAN RESOURCES,2012,2,1,1
EXCEL HUMAN RESOURCES,2013,1,1,0
EXCEL HUMAN RESOURCES,2014,1,1,0
EXCEL HUMAN RESOURCES,2015,3,2,1
EXCEL HUMAN RESOURCES,2016,2,1,1
EXCEL HUMAN RESOURCES,2017,2,1,1
KNOWLEDGE CIRCLE,2009,1,1,0
KNOWLEDGE CIRCLE,2011,2,2,0
KNOWLEDGE CIRCLE,2012,1,1,0
KNOWLEDGE CIRCLE,2013,6,4,2
KNOWLEDGE CIRCLE,2014,8,4,4
KNOWLEDGE CIRCLE,2015,4,2,2
KNOWLEDGE CIRCLE,2016,1,1,0
KONICA MINOLTA BUSINESS SOLUTIONS,2008,2,2,0
KONICA MINOLTA BUSINESS SOLUTIONS,2009,6,6,0
KONICA MINOLTA BUSINESS SOLUTIONS,2010,8,8,0
KONICA MINOLTA BUSINESS SOLUTIONS,2011,9,7,2
KONICA MINOLTA BUSINESS SOLUTIONS,2012,28,11,17
KONICA MINOLTA BUSINESS SOLUTIONS,2013,7,2,5
KONICA MINOLTA BUSINESS SOLUTIONS,2014,6,1,5
KONICA MINOLTA BUSINESS SOLUTIONS,2015,2,0,2
KONICA MINOLTA BUSINESS SOLUTIONS,2016,2,1,1
MICROSOFT CANADA,2008,1,1,0
MICROSOFT CANADA,2011,3,3,0
MICROSOFT CANADA,2012,2,1,1
MICROSOFT CANADA,2013,5,4,1
MICROSOFT CANADA,2014,3,2,1
MICROSOFT CANADA,2015,4,1,3
MICROSOFT CANADA,2016,2,1,1
MICROSOFT CANADA,2017,5,3,2
NORTHERN MICRO,2008,3,3,0
NORTHERN MICRO,2009,2,2,0
NORTHERN MICRO,2010,1,1,0
NORTHERN MICRO,2011,4,4,0
NORTHERN MICRO,2012,5,5,0
NORTHERN MICRO,2013,2,2,0
NORTHERN MICRO,2014,5,5,0
NORTHERN MICRO,2015,3,3,0
NORTHERN MICRO,2016,6,6,0
NORTHERN MICRO,2017,5,5,0
SAS INSTITUTE,2008,2,2,0
SAS INSTITUTE,2012,3,3,0
SAS INSTITUTE,2013,4,3,1
SAS INSTITUTE,2014,4,1,3
SAS INSTITUTE,2015,4,3,1
SAS INSTITUTE,2016,4,2,2
SAS INSTITUTE,2017,2,2,0
