effective_year,sum_yearly_value
2008,6578931171.80
2009,8732086779.51
2010,8593308875.89
2011,10788059872.90
2012,10189133033.78
2013,11408365908.27
2014,13969681549.01
2015,15272095645.45
2016,16615719462.68
2017,14485146185.46
