owner_acronym,source_year,total_entries,original_contract_entries,amendment_entries,most_recent_entries,original_entries_sum,most_recent_entries_sum
pco,2005,516,480,36,475,18397426.96,18145182.50
pco,2006,351,336,15,337,14105286.49,12238346.08
pco,2007,293,287,6,277,13334689.95,12900177.66
pco,2008,313,292,21,276,11285446.59,10107122.39
pco,2009,352,312,40,315,12660916.99,12328958.73
pco,2010,332,294,38,293,20228529.06,22618472.80
pco,2011,285,246,39,247,17580687.41,20951657.56
pco,2012,185,156,29,155,6139094.05,8276138.27
pco,2013,237,200,37,192,16652594.55,14747995.97
pco,2014,172,130,42,142,8544265.13,12261484.97
pco,2015,179,158,21,163,6337303.29,12642510.51
pco,2016,277,256,21,237,23545152.38,26029024.75
pco,2017,375,331,44,338,39801320.79,40516575.97
pco,2018,264,228,36,254,24792834.79,36680756.32
phac,2010,1681,1525,156,1427,69122339.26,61616022.65
phac,2011,3236,2741,495,2656,163720827.80,145244057.09
phac,2012,2947,2124,823,2128,180710444.23,169715997.78
phac,2013,2691,1950,741,1922,154858125.79,173244210.54
phac,2014,2547,1958,589,1915,468418999.18,520237808.87
phac,2015,2183,1662,521,1739,155290265.76,197699070.80
phac,2016,1854,1525,329,1632,133937481.49,183385208.52
phac,2017,802,697,105,672,79001312.21,64736962.79
phac,2018,597,475,122,547,27720003.56,60472953.30
pmprb,2016,15,14,1,12,2347244.53,1873604.85
pmprb,2017,24,22,2,22,1813547.30,2072231.58
pmprb,2018,19,17,2,19,928719.83,1536949.24
ppsc,2006,3,3,0,3,74953.66,74953.66
ppsc,2007,34,34,0,34,919555.06,919555.06
ppsc,2008,126,126,0,125,3828424.50,3795494.46
ppsc,2009,141,140,1,133,4960251.70,4825251.73
ppsc,2010,113,103,10,107,3964082.27,4345131.55
ppsc,2011,116,112,4,109,4840066.35,4066142.23
ppsc,2012,124,115,9,113,4468528.95,4618583.02
ppsc,2013,365,343,22,196,47695808.64,14531661.53
ppsc,2014,304,144,160,258,16590688.33,45038148.66
ppsc,2015,136,95,41,121,23877139.71,33113484.15
ppsc,2016,87,74,13,76,4817181.56,8755165.53
ppsc,2017,113,101,12,105,9144651.15,12522086.59
ppsc,2018,83,73,10,80,5007707.75,6426479.80
pptc,2010,282,252,30,229,86413376.25,35648342.16
pptc,2011,344,304,40,305,174172470.42,35145200.52
pptc,2012,185,165,20,142,16256371.08,85077569.30
pptc,2013,222,171,51,203,47188939.90,208378475.12
pptc,2014,76,64,12,74,10999774.81,18397980.45
ps,2004,429,429,0,429,15795173.68,15795173.68
ps,2005,317,317,0,317,11618494.17,11618494.17
ps,2006,396,396,0,396,20548951.73,20548951.73
ps,2007,390,390,0,390,21877695.00,21877695.00
ps,2008,338,338,0,338,18806757.02,18806757.02
ps,2009,404,402,2,402,27436847.06,27471946.00
ps,2010,381,381,0,381,32536194.94,32536194.94
ps,2011,385,385,0,384,27925277.13,27892869.03
ps,2012,313,313,0,310,30054187.43,27881012.56
ps,2013,273,271,2,269,27319840.45,28750295.69
ps,2014,274,273,1,266,31560742.48,30791915.18
ps,2015,292,291,1,266,29467178.08,25645459.35
ps,2016,334,260,74,270,12617261.65,14455461.12
ps,2017,264,210,54,223,15311691.88,22631810.50
ps,2018,187,158,29,173,15086358.59,21781090.14
psc,2004,161,160,1,160,6183071.00,6183071.00
psc,2005,236,232,4,232,11878666.00,12048379.00
psc,2006,264,261,3,261,11003993.00,11067315.00
psc,2007,329,301,28,300,15061805.00,14625112.00
psc,2008,260,228,32,227,8797154.00,10431266.00
psc,2009,194,166,28,164,8655942.00,10135322.00
psc,2010,158,146,12,138,8106296.00,7212381.00
psc,2011,153,137,16,136,6057970.00,6127471.00
psc,2012,101,76,25,84,3088231.00,5064560.00
psc,2013,28,22,6,22,642855.00,2383746.00
psc,2014,30,20,10,21,1010963.00,1252451.00
psc,2015,74,67,7,65,2453452.00,2437624.00
psc,2016,56,47,9,48,4563836.13,6165254.61
psc,2017,69,61,8,61,2676011.16,2461856.51
psc,2018,60,53,7,58,3046003.72,4686836.71
psic,2016,14,14,0,14,473055.10,473055.10
psic,2017,19,18,1,16,686523.84,572723.84
psic,2018,9,5,4,7,164317.50,450442.37
pspc,2004,7073,6893,180,6815,2849890909.18,2792760427.91
pspc,2005,6811,6496,315,6525,875306451.46,871725072.91
pspc,2006,6333,6024,309,5992,658599529.76,659026041.71
pspc,2007,7177,6858,319,6792,763158089.33,756257716.93
pspc,2008,10186,9768,418,9398,1382811978.22,1126896484.85
pspc,2009,9734,8634,1100,8322,2089693418.53,1497261521.64
pspc,2010,10387,8770,1617,8397,5283818509.24,4750673704.20
pspc,2011,9121,7244,1877,7120,4414343876.87,4943821380.62
pspc,2012,8310,5915,2395,5678,3696209214.70,3021751987.42
pspc,2013,7869,5229,2640,5314,1718444853.61,2070485479.02
pspc,2014,7406,4998,2408,4944,2169330938.00,1674568098.13
pspc,2015,7173,4685,2488,4578,10813059791.11,10877447517.67
pspc,2016,8029,5335,2694,5594,3177934496.57,3799578791.80
pspc,2017,7916,5669,2247,5815,2559726811.42,2798996716.72
pspc,2018,5699,4081,1618,4978,2357528295.08,6538447313.75
rcmp,2004,3496,3455,41,3437,258254838.51,255486680.96
rcmp,2005,3720,3666,54,3651,285569656.81,270660722.17
rcmp,2006,3963,3888,75,3856,309950942.05,299024691.25
rcmp,2007,3946,3863,83,3791,320310648.01,288146336.13
rcmp,2008,4435,4206,229,4166,475626156.41,503700061.31
rcmp,2009,3397,3311,86,3167,635935845.50,513579582.60
rcmp,2010,3525,3145,380,3098,331424346.28,444743017.37
rcmp,2011,3372,3010,362,2977,330397154.15,344751752.41
rcmp,2012,3099,2645,454,2555,387102570.46,362633908.58
rcmp,2013,3331,2766,565,2707,339148998.00,395566632.95
rcmp,2014,3306,2697,609,2680,372228111.68,406142463.82
rcmp,2015,3571,2971,600,2839,392626792.86,393830245.92
rcmp,2016,3902,3078,824,3146,450103107.11,506923378.40
rcmp,2017,4103,3264,839,3505,576166151.79,811238507.82
rcmp,2018,2637,2137,500,2490,394147054.67,741943071.77
sirc,2015,2,2,0,2,100000.00,100000.00
sirc,2016,10,10,0,10,865723.94,865723.94
sirc,2017,21,21,0,21,1893385.26,1893385.26
sirc,2018,10,10,0,10,179459.45,179459.45
ssc,2011,10,10,0,2,11659798.00,24990.00
ssc,2012,3329,1860,1469,1609,297935803.02,211684911.95
ssc,2013,3013,2473,540,2398,3536279991.38,2823969128.57
ssc,2014,1853,1395,458,1474,2477902572.55,1429726677.95
ssc,2015,766,545,221,549,283398778.01,448146774.01
ssc,2016,2258,1761,497,1661,3429920146.84,3137702797.80
ssc,2017,2892,2133,759,2196,2371065634.35,3112207826.80
ssc,2018,1293,914,379,1169,383527171.34,3855146854.07
sshrc,2017,37,34,3,29,2358275.55,1431886.72
sshrc,2018,30,24,6,29,969500.30,2043689.18
stats,2004,583,583,0,583,42388897.48,42388897.48
stats,2005,883,883,0,883,50215755.05,50215755.05
stats,2006,647,647,0,647,32610340.84,32610340.84
stats,2007,484,484,0,483,29410021.18,29393866.78
stats,2008,440,439,1,438,37152289.39,37127895.99
stats,2009,623,620,3,610,81895432.60,84520264.10
stats,2010,635,632,3,627,58319861.88,59414539.93
stats,2011,473,463,10,468,110552323.27,111858205.18
stats,2012,253,241,12,253,25757021.29,27304958.85
stats,2013,406,399,7,396,37246502.16,37128839.51
stats,2014,288,284,4,287,41563710.32,42289168.06
stats,2015,396,395,1,395,53989629.13,53994233.99
stats,2016,272,272,0,272,54638816.22,54638816.22
stats,2017,249,245,4,244,27005887.84,26996187.18
stats,2018,130,129,1,130,15484641.12,15509388.12
swc,2016,15,15,0,15,489487.06,489487.06
swc,2017,83,80,3,79,2060733.62,2079344.03
swc,2018,17,16,1,17,819042.51,831042.51
tbs,2004,283,283,0,283,10841196.31,10841196.31
tbs,2005,311,311,0,310,16490854.59,12825901.61
tbs,2006,399,399,0,397,38815368.91,23779689.03
tbs,2007,407,407,0,404,18331018.73,17414749.23
tbs,2008,356,356,0,326,18629126.70,13826446.78
tbs,2009,542,482,60,450,39902515.14,26352024.46
tbs,2010,475,353,122,359,42633114.42,51212960.67
tbs,2011,421,343,78,339,410013276.71,233504933.35
tbs,2012,267,194,73,210,40556185.21,53878150.74
tbs,2013,229,181,48,188,45024743.41,48438929.94
tbs,2014,200,166,34,169,30527967.24,37304312.66
tbs,2015,198,175,23,169,49975696.67,49341680.36
tbs,2016,224,186,38,180,46987871.49,49301537.52
tbs,2017,263,211,52,228,28641056.53,61159708.59
tbs,2018,224,193,31,214,102244668.49,560304348.66
tc,2011,1586,1489,97,1387,171860860.83,135593923.95
tc,2012,1107,965,142,952,91740418.25,95344113.31
tc,2013,1508,1349,159,1343,121626925.77,129138563.66
tc,2014,1569,1414,155,1401,123571771.34,140931167.74
tc,2015,1266,1099,167,1102,104717713.34,138321590.15
tc,2016,1065,907,158,940,78657629.60,120540553.55
tc,2017,1486,1330,156,1368,124671087.95,184923689.85
tc,2018,982,905,77,964,145464166.35,201377352.75
tsb,2016,3,3,0,3,70475.18,70475.18
tsb,2017,62,61,1,61,1857019.07,1892020.82
tsb,2018,13,13,0,13,467626.24,467626.24
vac,2010,143,115,28,114,13347642.36,16083032.13
vac,2011,376,315,61,314,22276812.40,29768662.22
vac,2012,393,314,79,313,19396634.65,22606418.60
vac,2013,402,321,81,314,187839685.15,189394789.61
vac,2014,408,340,68,336,59404820.43,71584769.75
vac,2015,480,392,88,400,19206995.37,23237996.29
vac,2016,135,131,4,127,25412660.97,25021352.56
vac,2017,159,138,21,142,53748795.93,53769125.12
vac,2018,208,185,23,191,118495589.49,131930716.97
vrab,2011,9,9,0,8,143566.00,136786.00
vrab,2012,7,6,1,6,93000.00,103349.69
vrab,2013,3,2,1,3,120257.00,141614.00
vrab,2015,8,8,0,8,177663.00,177663.00
vrab,2016,2,2,0,2,57286.00,57286.00
vrab,2018,1,1,0,1,10206.02,10206.02
wd,2018,23,22,1,22,944295.03,954045.03
