owner_acronym,source_year,total_entries,original_contract_entries,amendment_entries,most_recent_entries,original_entries_sum,most_recent_entries_sum
cc,2013,57,57,0,57,4127706.65,4127706.65
cc,2014,54,54,0,54,2242615.69,2242615.69
cc,2015,52,52,0,52,1895120.22,1895120.22
cc,2016,67,67,0,67,6246892.05,6246892.05
cc,2017,42,42,0,42,3927388.00,3927388.00
ccohs,2016,5,4,1,4,108414.05,112577.45
ccohs,2017,23,19,4,18,673397.10,530267.30
ccohs,2018,18,16,2,17,606714.87,646713.03
ceaa,2004,59,59,0,59,1227285.31,1227285.31
ceaa,2005,57,57,0,57,1397817.32,1397817.32
ceaa,2006,28,28,0,28,729541.20,729541.20
ceaa,2007,52,52,0,51,1554464.45,1524494.45
ceaa,2008,88,88,0,79,2755682.96,2417549.45
ceaa,2009,85,69,16,71,1989210.76,2409786.64
ceaa,2010,43,34,9,38,1196675.14,1741876.44
ceaa,2011,33,32,1,31,742451.61,645451.61
ceaa,2012,51,48,3,47,1076958.94,966418.77
ceaa,2013,69,52,17,54,2415797.48,2637693.55
ceaa,2014,26,20,6,23,1077875.21,1409387.71
ceaa,2015,14,12,2,12,251193.47,254018.47
ceaa,2016,62,55,7,55,2326984.70,2764810.95
ceaa,2017,24,23,1,24,986502.84,1008302.84
ceaa,2018,32,32,0,32,1971589.44,1971589.44
ced,2004,114,114,0,114,6870524.00,6870524.00
ced,2005,135,135,0,135,5039169.00,5039169.00
ced,2006,154,154,0,154,4013091.69,4013091.69
ced,2007,118,118,0,118,4131356.72,4131356.72
ced,2008,161,160,1,160,4055338.26,4056657.59
ced,2009,147,146,1,146,4329145.13,4307115.13
ced,2010,150,137,13,131,4857735.98,4461564.74
ced,2011,109,99,10,99,3566322.48,3519705.34
ced,2012,74,70,4,66,4219880.55,2723902.92
ced,2013,80,69,11,72,2177323.58,2683664.04
ced,2014,59,51,8,44,2409740.67,1876846.25
ced,2015,59,46,13,50,2470768.65,4458867.36
ced,2016,81,68,13,71,2750017.14,3005056.47
ced,2017,61,53,8,54,2430931.37,3194738.69
ced,2018,27,21,6,25,808014.89,1908084.06
cfia,2011,500,488,12,465,40309011.95,38937412.50
cfia,2012,912,831,81,797,55200926.00,51457614.00
cfia,2013,965,852,113,808,98875090.36,73725091.95
cfia,2014,772,600,172,577,51928893.68,43031427.83
cfia,2015,738,531,207,529,52232660.56,63024786.03
cfia,2016,1121,827,294,841,79563748.65,78497470.19
cfia,2017,643,449,194,494,50570600.00,116219755.20
cfia,2018,430,320,110,382,38699426.68,73935716.41
cgc,2016,42,42,0,40,1434093.71,1337579.02
cgc,2017,124,122,2,120,7722020.19,7421143.05
cgc,2018,88,84,4,88,2634992.62,3394476.18
chrc,2015,24,24,0,24,1121056.83,1121056.83
chrc,2017,29,29,0,26,2056459.63,1924031.88
chrc,2018,29,26,3,29,742238.58,893564.45
cics,2017,6,6,0,6,120519.08,120519.08
cics,2018,17,17,0,17,267983.58,267983.58
cihr,2015,65,64,1,58,4728336.72,4267656.54
cihr,2016,167,152,15,131,11180131.57,7521491.85
cihr,2017,146,113,33,128,7247705.97,14023495.97
cihr,2018,92,74,18,84,4232566.40,5213173.39
cnsc,2004,291,291,0,291,8867577.00,8867577.00
cnsc,2005,317,317,0,317,10070509.92,10070509.92
