owner_acronym,effective_year,sum_yearly_value
acoa,2008,5325686.50738095
acoa,2009,6466173.28704762
acoa,2010,5100124.67138095
acoa,2011,4474526.04499207
acoa,2012,3212751.96649207
acoa,2013,3696602.07065873
acoa,2014,2942405.56733333
acoa,2015,2263444.22483333
acoa,2016,2681717.02483333
acoa,2017,3006368.2115
agr,2009,319718.071845232
agr,2010,11208858.1447977
agr,2011,16867863.3645279
agr,2012,30021583.8111946
agr,2013,65404788.8519724
agr,2014,114063756.11141
agr,2015,122221219.082294
agr,2016,152212382.335933
agr,2017,144512287.949294
atssc,2014,181772.05833333
atssc,2015,572483.7125
atssc,2016,2640582.6575
atssc,2017,6624903.2786111
cannor,2015,8654.394
cannor,2016,127888.260666667
cannor,2017,351901.282333333
cas,2013,197516.85142857
cas,2014,338299.37642857
cas,2015,1330933.9397619
cas,2016,7144254.65642856
cas,2017,13428843.8230952
cbsa,2010,2568712
cbsa,2011,3742028.88095239
cbsa,2012,23923407.5449048
cbsa,2013,100752922.309667
cbsa,2014,73414495.4853334
cbsa,2015,211010864.444143
cbsa,2016,183619382.25331
cbsa,2017,217957609.345905
cc,2008,572036.246666667
cc,2009,1307047.13166667
cc,2010,1957688.62
cc,2011,2457490.00833333
cc,2012,2699079.775
cc,2013,2933760.34583333
cc,2014,2903966.74416666
cc,2015,2580580.49583333
cc,2016,3161526.08583334
cc,2017,6807810.37
ccohs,2017,338953.065
ceaa,2008,2265273.19666667
ceaa,2009,2378822.33166667
ceaa,2010,1500173.14833333
ceaa,2011,1419389.31833333
ceaa,2012,812964.535000001
ceaa,2013,2557061.26571429
ceaa,2014,1411031.62571429
ceaa,2015,601911.674047619
ceaa,2016,1393838.02183747
ceaa,2017,2179951.35517081
ced,2008,4010116.71673077
ced,2009,4426793.89673077
ced,2010,4640901.31173077
ced,2011,4116633.94173077
ced,2012,3685964.68523077
ced,2013,3274962.9325641
ced,2014,2769297.081
ced,2015,2664525.20133333
ced,2016,3419983.46911111
ced,2017,2489975.83644445
cfia,2010,26281.769333334
cfia,2011,37223480.8826667
cfia,2012,54544443.082381
cfia,2013,106991900.503571
cfia,2014,31929226.4784881
cfia,2015,56291193.2624881
cfia,2016,85930949.3404882
cfia,2017,97381186.0895914
cgc,2016,153373.61
cgc,2017,3866053.04166667
chrc,2013,84685.792
chrc,2014,140916.528666667
chrc,2015,235357.600666667
chrc,2016,723457.260666667
chrc,2017,411830.954
cics,2017,16276.82
cihr,2014,535995.25
cihr,2015,584519.28
cihr,2016,5244347.11333334
cihr,2017,11149869.6211111
cnsc,2008,13560764.9486667
cnsc,2009,15462163.0586667
cnsc,2010,20234994.7428333
cnsc,2011,19929858.0828333
cnsc,2012,9128427.54816666
cnsc,2013,10231069.7633889
cnsc,2014,10294113.5358889
cnsc,2015,10090201.6712222
cnsc,2016,10692495.859
cnsc,2017,13406064.734
cpc,2015,15678.5625
cpc,2016,253826.1275
cpc,2017,1290034.0575
cra,2008,447193122.123544
cra,2009,377030270.670656
cra,2010,382493406.437328
cra,2011,372220816.55685
cra,2012,295295774.896637
cra,2013,231919096.205627
cra,2014,163787249.705291
cra,2015,171945601.272525
cra,2016,169001855.30008
cra,2017,147423398.807969
crtc,2012,242314.64
crtc,2013,242314.64
crtc,2014,242314.64
crtc,2015,311017.95
crtc,2016,2060267.04
crtc,2017,5233629.51666667
csa,2008,109047955.418833
csa,2009,144245831.900976
csa,2010,148964727.724012
csa,2011,154735783.330679
csa,2012,145232920.739012
csa,2013,276025349.092896
csa,2014,282487684.848896
csa,2015,274146304.69911
csa,2016,280022935.621241
csa,2017,86171921.9264048
csc,2009,6281700.5858333
csc,2010,6917210.11047616
csc,2011,25479873.7316667
csc,2012,31944728.2085714
csc,2013,42453753.1837857
csc,2014,333503163.506119
csc,2015,734769705.068286
csc,2016,814356259.095953
csc,2017,432644109.183271
csps,2008,408697.1
csps,2009,413247.1
csps,2010,442258.001666667
csps,2011,446023.727666667
csps,2012,2031041.53933334
csps,2013,4794341.7385
csps,2014,5344022.75480953
csps,2015,9599463.23997619
csps,2016,9739256.39230952
csps,2017,6833115.00147619
cta,2014,114604.668333334
cta,2015,588929.865000001
cta,2016,1627936.26683333
cta,2017,1738974.86583333
dfo,2008,10746295.8104323
dfo,2009,54799411.8062894
dfo,2010,276594146.851554
dfo,2011,439481842.41568
dfo,2012,313317674.144554
dfo,2013,334180332.147723
dfo,2014,784448471.400916
dfo,2015,981112402.506983
dfo,2016,845790399.530997
dfo,2017,300092698.449245
dnd,2008,2680104973.72162
dnd,2009,3066978374.99457
dnd,2010,3191389939.84445
dnd,2011,2759223397.44546
dnd,2012,3012961368.64038
dnd,2013,4250814089.08655
dnd,2014,3989667695.16869
dnd,2015,5477553826.58231
dnd,2016,4541596429.10139
dnd,2017,3745075251.8394
ec,2008,129464109.401478
ec,2009,148494464.034044
ec,2010,166814726.800468
ec,2011,145958374.680492
ec,2012,172667428.693486
ec,2013,167591116.885498
ec,2014,160895095.43952
ec,2015,141029895.268883
ec,2016,126468503.237152
ec,2017,98611789.2438664
elections,2013,274772.236761904
elections,2014,9771325.7770119
elections,2015,12834916.9481786
elections,2016,17601363.0855119
elections,2017,46367174.134373
esdc,2008,658942698.06211
esdc,2009,777228724.19811
esdc,2010,802396523.312276
esdc,2011,753888782.358709
esdc,2012,653304951.828971
esdc,2013,579360048.109562
esdc,2014,386307507.049268
esdc,2015,410476031.086545
esdc,2016,1457213649.55024
esdc,2017,180052341.080935
fcac,2008,1261278.13166667
fcac,2009,2031403.94333333
fcac,2010,3077678.07166667
fcac,2011,2368402.52
fcac,2012,3253878.35833333
fcac,2013,2193685.92333333
fcac,2014,2925741.35333333
fcac,2015,3461479.29883333
fcac,2016,2690296.30716667
