owner_acronym,source_fiscal,total_entries,total_contracts,total_amendments
cannor,201718-Q2,4,4,0
cannor,201718-Q3,1,1,0
cannor,201718-Q4,5,5,0
cannor,201819-Q1,3,3,0
cannor,201819-Q2,3,3,0
cannor,201819-Q3,9,8,1
cas,201617-Q4,23,23,0
cas,201718-Q1,27,27,0
cas,201718-Q2,14,14,0
cas,201718-Q3,33,30,3
cas,201718-Q4,63,62,1
cas,201819-Q1,85,79,6
cas,201819-Q2,176,173,3
cas,201819-Q3,62,46,16
cas,201819-Q4,1,0,1
cas,201819-Q5,1,1,0
cas,201819-Q7,1,0,1
cbsa,201415-Q1,171,171,0
cbsa,201415-Q2,155,155,0
cbsa,201415-Q3,168,168,0
cbsa,201415-Q4,259,259,0
cbsa,201516-Q1,164,164,0
cbsa,201516-Q2,178,178,0
cbsa,201516-Q3,138,138,0
cbsa,201516-Q4,315,285,30
cbsa,201617-Q1,222,175,47
cbsa,201617-Q2,171,124,47
cbsa,201617-Q3,143,102,41
cbsa,201617-Q4,259,195,64
cbsa,201718-Q1,152,107,45
cbsa,201718-Q2,178,132,46
cbsa,201718-Q3,427,289,138
cbsa,201718-Q4,351,265,86
cbsa,201819-Q1,174,129,45
cbsa,201819-Q2,195,141,54
cbsa,201819-Q3,264,155,109
cc,200809-Q1,13,13,0
cc,200809-Q2,10,10,0
cc,200809-Q3,10,10,0
cc,200809-Q4,15,15,0
cc,200910-Q1,19,19,0
cc,200910-Q2,10,10,0
cc,200910-Q3,6,6,0
cc,200910-Q4,14,14,0
cc,201011-Q1,19,19,0
cc,201011-Q2,7,7,0
cc,201011-Q3,12,12,0
cc,201011-Q4,24,24,0
cc,201112-Q1,12,12,0
cc,201112-Q2,11,11,0
cc,201112-Q3,4,4,0
cc,201112-Q4,13,13,0
cc,201213-Q1,21,21,0
cc,201213-Q2,11,11,0
cc,201213-Q3,14,14,0
cc,201213-Q4,6,6,0
cc,201314-Q1,22,22,0
cc,201314-Q2,8,8,0
cc,201314-Q3,15,15,0
cc,201314-Q4,12,12,0
cc,201415-Q1,14,14,0
cc,201415-Q2,16,16,0
cc,201415-Q3,7,7,0
cc,201415-Q4,17,17,0
cc,201516-Q1,24,24,0
cc,201516-Q2,6,6,0
cc,201516-Q3,8,8,0
cc,201516-Q4,14,14,0
cc,201617-Q1,17,17,0
cc,201617-Q2,17,17,0
cc,201617-Q3,18,18,0
cc,201617-Q4,15,15,0
cc,201718-Q1,22,22,0
cc,201718-Q2,20,20,0
ccohs,201617-Q4,5,4,1
ccohs,201718-Q1,4,4,0
ccohs,201718-Q2,10,10,0
ccohs,201718-Q3,5,2,3
ccohs,201718-Q4,4,3,1
ccohs,201819-Q1,3,3,0
ccohs,201819-Q2,9,8,1
ccohs,201819-Q3,6,5,1
ceaa,200405-Q1,20,20,0
ceaa,200405-Q2,14,14,0
ceaa,200405-Q3,14,14,0
ceaa,200405-Q4,11,11,0
ceaa,200506-Q1,17,17,0
ceaa,200506-Q2,14,14,0
ceaa,200506-Q3,11,11,0
ceaa,200506-Q4,15,15,0
ceaa,200607-Q1,8,8,0
ceaa,200607-Q2,4,4,0
ceaa,200607-Q3,6,6,0
ceaa,200607-Q4,10,10,0
ceaa,200708-Q1,13,13,0
ceaa,200708-Q2,9,9,0
ceaa,200708-Q3,13,13,0
ceaa,200708-Q4,17,17,0
ceaa,200809-Q1,30,30,0
ceaa,200809-Q2,21,21,0
ceaa,200809-Q3,18,18,0
ceaa,200809-Q4,19,19,0
ceaa,200910-Q1,19,14,5
ceaa,200910-Q2,22,19,3
ceaa,200910-Q3,22,16,6
ceaa,200910-Q4,22,20,2
ceaa,201011-Q1,13,9,4
ceaa,201011-Q2,5,4,1
ceaa,201011-Q3,6,5,1
ceaa,201011-Q4,19,16,3
ceaa,201112-Q1,10,10,0
ceaa,201112-Q2,10,10,0
ceaa,201112-Q3,6,6,0
ceaa,201112-Q4,7,6,1
ceaa,201213-Q1,6,5,1
ceaa,201213-Q2,3,3,0
ceaa,201213-Q3,10,10,0
ceaa,201213-Q4,32,30,2
ceaa,201314-Q1,23,19,4
ceaa,201314-Q2,20,16,4
ceaa,201314-Q3,13,10,3
ceaa,201314-Q4,13,7,6
ceaa,201415-Q1,8,6,2
ceaa,201415-Q2,2,1,1
ceaa,201415-Q3,8,7,1
ceaa,201415-Q4,8,6,2
ceaa,201516-Q1,5,4,1
ceaa,201516-Q2,1,1,0
ceaa,201516-Q3,2,1,1
ceaa,201516-Q4,6,6,0
ceaa,201617-Q1,14,14,0
ceaa,201617-Q2,10,9,1
ceaa,201617-Q3,13,13,0
ceaa,201617-Q4,25,19,6
ceaa,201718-Q1,6,6,0
ceaa,201718-Q2,3,3,0
ceaa,201718-Q3,7,7,0
ceaa,201718-Q4,8,7,1
ceaa,201819-Q1,6,6,0
ceaa,201819-Q2,11,11,0
ceaa,201819-Q3,15,15,0
ced,200405-Q1,31,31,0
ced,200405-Q2,27,27,0
ced,200405-Q3,31,31,0
ced,200405-Q4,25,25,0
ced,200506-Q1,43,43,0
ced,200506-Q2,31,31,0
ced,200506-Q3,24,24,0
ced,200506-Q4,37,37,0
ced,200607-Q1,32,32,0
ced,200607-Q2,47,47,0
ced,200607-Q3,38,38,0
ced,200607-Q4,37,37,0
ced,200708-Q1,33,33,0
ced,200708-Q2,24,24,0
ced,200708-Q3,29,29,0
ced,200708-Q4,32,32,0
ced,200809-Q1,50,50,0
ced,200809-Q2,28,27,1
ced,200809-Q3,34,34,0
